"","Group","PB","M0","F.Halibut.HookLine","F.Crab.Pots","F.Herring.Fleet","F.Salmon.Fleet","F.Subsistence.FIshery","F.Flatfish.Trawl","F.Other.Groundfish.Trawl","F.P..Cod.HookLine","F.P..Cod.Pot","F.P..Cod.Trawl","F.Pollock.Trawl","F.Rockfish.Trawl","F.Sablefish.HookLine","F.shrimp.trawl","M2.Transient.Killers","M2.Sperm.and.Beaked.Whales","M2.Resident.Killers","M2.Porpoises","M2.Gray.Whales","M2.Humpbacks","M2.Fin.Whales","M2.Sei.whales","M2.Right.whales","M2.Minke.whales","M2.Sea.Otters","M2.N..Fur.Seal_Juv","M2.N..Fur.Seal","M2.Steller.Sea.Lion_Juv","M2.Steller.Sea.Lion","M2.Resident.seals","M2.Shearwater","M2.Murres","M2.Kittiwakes","M2.Auklets","M2.Puffins","M2.Fulmars","M2.Storm.Petrels","M2.Cormorants","M2.Gulls","M2.Albatross.Jaeger","M2.Sleeper.shark","M2.Salmon.shark","M2.Dogfish","M2.W..Pollock_Juv","M2.W..Pollock","M2.P..Cod_Juv","M2.P..Cod","M2.Herring_Juv","M2.Herring","M2.Arrowtooth_Juv","M2.Arrowtooth","M2.P..Halibut_Juv","M2.P..Halibut","M2.YF..Sole","M2.FH..Sole_Juv","M2.FH..Sole","M2.N..Rock.sole","M2.S..Rock.sole","M2.AK.Plaice","M2.Dover.Sole","M2.Rex.Sole","M2.Misc..Flatfish","M2.Other.skates","M2.Longnose.skate","M2.Big.skate","M2.Sablefish_Juv","M2.Sablefish","M2.Eelpouts","M2.Grenadiers","M2.Misc..fish.deep","M2.POP_Juv","M2.POP","M2.Sharpchin.Rock","M2.Northern.Rock","M2.Dusky.Rock","M2.Shortraker.Rock","M2.Rougheye.Rock","M2.Shortspine.Thorns_Juv","M2.Shortspine.Thorns","M2.Other.Sebastes","M2.Atka.mackerel_Juv","M2.Atka.mackerel","M2.Greenlings","M2.Lg..Sculpins","M2.Other.sculpins","M2.Misc..fish.shallow","M2.Octopi","M2.Squids","M2.Salmon.returning","M2.Salmon.outgoing","M2.Bathylagidae","M2.Myctophidae","M2.Capelin","M2.Sandlance","M2.Eulachon","M2.Oth..managed.forage","M2.Oth..pelagic.smelt","M2.Bairdi","M2.King.Crab","M2.Misc..crabs","M2.Pandalidae","M2.NP.shrimp","M2.Sea.stars","M2.Brittle.stars","M2.Urchins.dollars.cucumbers","M2.Snails","M2.Hermit.crabs","M2.Misc..Crustacean","M2.Benthic.Amphipods","M2.Anemones","M2.Corals","M2.Hydroids","M2.Urochordata","M2.Sea.Pens","M2.Sponges","M2.Bivalves","M2.Polychaetes","M2.Misc..worms","M2.Scyphozoid.Jellies","M2.Fish.Larvae","M2.Chaetognaths","M2.Euphausiids","M2.Mysids","M2.Pelagic.Amphipods","M2.Gelatinous.filter.feeders","M2.Pteropods","M2.Copepods","M2.Pelagic.microbes","M2.Benthic.microbes","M2.Macroalgae","M2.Lg.Phytoplankton","M2.Sm.Phytoplankton","M2.Outside.Production"
"12","N. Fur Seal_Juv",0.398865,0.396152098876075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271290112392471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"13","N. Fur Seal",0.096588,0.0938602895280181,0,0,0,0,0.0000148085756583291,0,0,0,0,0,0,0,0,0,0.00271290189632353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"14","Steller Sea Lion_Juv",0.4940115,0.476916031633668,0,0,0,0,0.0143825679771327,0,0,0,0,0,0,0,0,0,0.00271290038919939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"15","Steller Sea Lion",0.1097936,0.104472110939886,0,0,0,0,0.00236772952499302,0.00000813383165604436,0.00000505226426166336,0.0000744534297343011,0,0.0000157592988335859,0.0000355290285531382,0.00000778236979436343,0.0000941478461977789,0,0.0027129014660898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"16","Resident seals",0.082653,0.0640229732037539,0,0,0,0,0.0158547038922332,0.00000446517256525075,0.00000276415444515523,0.00000252115185657015,0.0000170405565245284,0.00000865696721834329,0.0000195313330575254,0.00000428292062381195,0.00000315903365160597,0,0.00271290161407008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"17","Shearwater",0.1,0.0793718474215316,0,0,0,0,0,0.0000064963187527068,0,0.00014291901255955,0.0000043308791684712,0.0000307492420961455,0.00000043308791684712,0.00000606323083585968,0.00116760502381984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523244634197991,0.0127252294167694,0,0,0,0,0,0,0.00602108173235167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"18","Murres",0.1694877,0.148869957803865,0,0,0,0,0,0.00000635378188687867,0,0.00014286695884405,0.00000434623516692027,0.000030920358758947,0.000000269052653190302,0.00000591915837018665,0.0011676264257721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523021585231813,0.0127246217910608,0,0,0,0,0,0,0.00601179684838966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"19","Kittiwakes",0.07688104,0.0562661808067351,0,0,0,0,0,0.00000629683977353866,0,0.000142915774145851,0.00000438529912800014,0.0000309219810307702,0.000000224887134769238,0.0000059595090713848,0.00116761400372188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000522233007557296,0.0127238170395478,0,0,0,0,0,0,0.00601049085215358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"20","Auklets",0.1694877,0.14886834244245,0,0,0,0,0,0.00000633874239350913,0,0.000142788512864311,0.00000433703426924309,0.0000310264759261236,0.000000333618020711007,0.00000600512437279812,0.00116766307248852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000522941346530337,0.0127202799630883,0,0,0,0,0,0,0.00601764366759635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"21","Puffins",0.04,0.0193823226687861,0,0,0,0,0,0.00000633823114619122,0,0.000142864655324369,0.00000434885932658376,0.0000309200813822711,0.000000262165278552922,0.00000592185099790129,0.00116762246472682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523021428313363,0.0127245841393888,0,0,0,0,0,0,0.00601179345532912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"22","Fulmars",0.055,0.0343927840754279,0,0,0,0,0,0.0000063345494856224,0,0.000142892818204521,0.00000438545733620012,0.0000309418378720786,0.000000243636518677785,0.00000596909470760572,0.00116762801576328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523722151755818,0.0127098983629283,0,0,0,0,0,0,0.0060152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"23","Storm Petrels",0.12,0.0993718474215315,0,0,0,0,0,0.0000064963187527068,0,0.00014291901255955,0.0000043308791684712,0.0000307492420961455,0.00000043308791684712,0.00000606323083585968,0.00116760502381984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523244634197991,0.0127252294167694,0,0,0,0,0,0,0.00602108173235167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"24","Cormorants",0.1587271,0.138081451458178,0,0,0,0,0,0.00000630587506914965,0,0.000142742081110751,0.00000429946027442022,0.0000309561139758256,0.000000286630684961348,0.00000601924438418831,0.00116773341053253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000521697387466007,0.0127538544021686,0,0,0,0,0,0,0.00601175393615588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"25","Gulls",0.1657822,0.145164597234741,0,0,0,0,0,0.0000063243217604101,0,0.000142824266422595,0.0000043918901113959,0.0000309189063842271,0.000000175675604455836,0.00000597297055149842,0.00116754006721349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523724690293607,0.0127245734719127,0,0,0,0,0,0,0.00601115650500412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"26","Albatross Jaeger",0.06756634,0.0469381874215316,0,0,0,0,0,0.0000064963187527068,0,0.00014291901255955,0.0000043308791684712,0.0000307492420961455,0.00000043308791684712,0.00000606323083585968,0.00116760502381984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523244634197991,0.0127252294167694,0,0,0,0,0,0,0.00602108173235167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"27","Sleeper shark",0.1,0.0157719181314815,0.0578363451767447,0,0,0,0,0.00043932347968762,0,0.0019995898091366,0,0.00136458149200694,0.0119606386739731,0,0.00363440436207389,0,0,0.0069931988748957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"28","Salmon shark",0.1,0.0864878291452435,0.00450805372988157,0,0,0,0.00000236453566503144,0.0000872565691743753,0,0.000505085630589576,0,0.0000404370286285144,0.00812366579340722,0,0.000245307567410224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"29","Dogfish",0.1,0.0102864422753564,0.0380269069941161,0,0,0,0.00000109756973202319,0.00343187748680281,0.000082535246249036,0.00095330201467858,0.000000409507817104709,0.00048178095282592,0.00317680405672427,0.0000742352219560113,0.00136717458583389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230353340879079,0.0190821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"30","W. Pollock_Juv",2.1,0.158188462757117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000494072507677862,0,0,0.0443736052743926,0.0291373903958824,0.00049063979992833,0,0.000907514001973087,0.0029422814117804,0.000330486186186626,0,0.000994946963496577,0,0.00385240279636213,0,0.118205056283834,0.0246011753231256,0.0000943375988664422,0.0594439107541183,0.0197417631699112,0.0006095363493344,0.0000188689498445027,0.0000896200908313904,0.00077439725486895,0,0,0.00495204727571458,0.1887355945916,0.247450388533932,0.00291651634351643,0.035885788079118,0,0,0.00267765204884412,1.05472416265197,0,0.0030414700471809,0,0,0.00587279564718651,0,0.00440853489673058,0,0,0,0,0.0000655581000109431,0.00207206208851887,0.00131567628322109,0.000966198081578163,0.0241082598527271,0.0000368972752750967,0,0,0,0,0,0,0,0,0,0,0.00000523084034374652,0.0324551130037931,0,0,0.00132043436454767,0.0212845461856563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000414605939041619,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"31","W. Pollock",0.425,0.0152735446547108,0,0,0,0,0.000000143227618996164,0.00101627172366596,0.000151814072433231,0.0000372278711257586,0.0000077556143857943,0.00330690510922614,0.0568854827381274,0.000338561060385038,0.00000583056891242098,0,0,0,0.00049407247095567,0,0,0,0,0,0,0,0.00294228176205223,0.000330486117933758,0.00537549168164045,0.00099494696005162,0.0278104844156295,0.00385240427513334,0,0,0,0,0,0,0,0,0,0,0.000497783080663461,0,0.00495204493850613,0,0.03063189528,0,0.103018596948328,0,0,0,0.208231507999654,0,0.145301248103917,0,0,0,0,0,0,0,0,0,0.0000764712702193456,0.00207206243215013,0.00131567558124876,0,0.0325771821278084,0.00151235249948788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110518488869285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
