Pane,"Cumulative biomass",,,,,,,,,,,,,,,,,,,,,
Data,"1: Seabirds","2: Whales","3: Seals","4: JuvRoundfish1","5: AduRoundfish1","6: JuvRoundfish2","7: AduRoundfish2","8: JuvFlatfish1","9: AduFlatfish1","10: JuvFlatfish2","11: AduFlatfish2","12: OtherGroundfish","13: Foragefish1","14: Foragefish2","15: OtherForagefish","16: Megabenthos","17: Shellfish","18: Macrobenthos","19: Zooplankton","20: Phytoplankton","21: Detritus","22: Discards"
0,0.0149370133876801,0.454371362924576,0.0249959751963615,0.130431070923805,1.38999998569489,1.23254489898682,5.55270004272461,0.069846399128437,5.76599979400635,0.096343070268631,0.739414572715759,7.40000009536743,5.09999990463257,4.69999980926514,5.09999990463257,19.7653388977051,7,17.3999996185303,23,10,-9999,-9999
1.08333333333333,0.0149370273575187,0.454371482133865,0.0249959975481033,0.130429401993752,1.3900306224823,1.23254418373108,5.55996084213257,0.0698455199599266,5.76698112487793,0.0963370949029922,0.740013957023621,7.40000438690186,5.09999942779541,4.69999694824219,5.09999322891235,19.7653713226318,7,17.3999843597412,22.9996185302734,9.99981689453125,0,0
1.16666666666667,0.0149370348080993,0.45437154173851,0.024996031075716,0.130430087447166,1.39002537727356,1.23255693912506,5.55991554260254,0.0698454678058624,5.76697301864624,0.0963324829936028,0.740012049674988,7.40000247955322,5.10001468658447,4.70001459121704,5.10003852844238,19.7654132843018,7.00004100799561,17.4005355834961,22.9997863769531,9.99989414215088,0,0
1.25,0.014937044121325,0.454371571540833,0.024996068328619,0.130430966615677,1.39002466201782,1.23261880874634,5.55990266799927,0.0698457360267639,5.76697111129761,0.096328467130661,0.740011155605316,7.40000104904175,5.10002183914185,4.70002317428589,5.10005712509155,19.7654399871826,7.00006151199341,17.4006996154785,22.9998817443848,9.99994564056396,0,0
1.33333333333333,0.0149370562285185,0.454371601343155,0.0249961074441671,0.130431801080704,1.39002645015717,1.23277533054352,5.55990362167358,0.0698461458086967,5.76697301864624,0.0963249355554581,0.740010797977448,7.40000152587891,5.10002470016479,4.70002698898315,5.10005235671997,19.7654628753662,7.00006914138794,17.4006519317627,22.9998970031738,9.99997711181641,0,0
1.41666666666667,0.0149370711296797,0.454371601343155,0.0249961484223604,0.130432516336441,1.3900294303894,1.23306214809418,5.55990648269653,0.0698466151952744,5.76697540283203,0.0963218808174133,0.740010559558868,7.4000039100647,5.10002565383911,4.70002841949463,5.10001993179321,19.7654857635498,7.0000696182251,17.4005184173584,22.999849319458,10.0000019073486,0,0
1.5,0.014937087893486,0.454371601343155,0.0249961912631989,0.130432978272438,1.39003241062164,1.2334988117218,5.55990123748779,0.0698471218347549,5.76697826385498,0.096319280564785,0.740010261535645,7.40000629425049,5.10002517700195,4.70002794265747,5.09995031356812,19.7655067443848,7.00006675720215,17.400354385376,22.9997386932373,10.0000305175781,0,0
1.58333333333333,0.0149371065199375,0.454371601343155,0.0249962396919727,0.130433171987534,1.3900351524353,1.23408687114716,5.55988073348999,0.0698476508259773,5.76698017120361,0.0963171720504761,0.740009784698486,7.40000677108765,5.10002326965332,4.70002603530884,5.09983348846436,19.7655220031738,7.00006198883057,17.4001846313477,22.9995670318604,10.0000696182251,0,0
1.66666666666667,0.014937125146389,0.454371601343155,0.0249962937086821,0.13043300807476,1.39003705978394,1.23481357097626,5.55983781814575,0.0698481947183609,5.76698017120361,0.0963155776262283,0.740009069442749,7.40000343322754,5.10001945495605,4.70002174377441,5.09966087341309,19.7655296325684,7.00005674362183,17.4000110626221,22.9993419647217,10.0001211166382,0,0
1.75,0.0149371447041631,0.454371601343155,0.0249963570386171,0.13043250143528,1.39003777503967,1.23565447330475,5.55976533889771,0.0698487833142281,5.76697826385498,0.0963145345449448,0.740008056163788,7.39999389648438,5.100013256073,4.7000150680542,5.09942674636841,19.7655296325684,7.00005197525024,17.3998355865479,22.9990768432617,10.0001850128174,0,0
1.83333333333333,0.0149371633306146,0.454371601343155,0.024996429681778,0.130431637167931,1.39003694057465,1.23657834529877,5.55965423583984,0.0698494166135788,5.76697444915771,0.0963140651583672,0.740006744861603,7.39997720718384,5.10000467300415,4.70000600814819,5.09912967681885,19.7655200958252,7.00004816055298,17.3996562957764,22.9987850189209,10.0002613067627,0,0
1.91666666666667,0.0149371810257435,0.454371601343155,0.0249965116381645,0.130430459976196,1.39003467559814,1.2375510931015,5.55949831008911,0.0698501244187355,5.76696920394897,0.0963141918182373,0.740005195140839,7.39995145797729,5.09999322891235,4.69999408721924,5.09877157211304,19.7655029296875,7.00004577636719,17.3994770050049,22.9984855651855,10.0003461837769,0,0
2,0.0149371977895498,0.454371571540833,0.0249966029077768,0.13042901456356,1.39003038406372,1.23853921890259,5.55928993225098,0.0698509216308594,5.76696157455444,0.0963149294257164,0.740003347396851,7.39991617202759,5.09997987747192,4.69997978210449,5.09835910797119,19.7654800415039,7.00004529953003,17.399299621582,22.9981880187988,10.0004367828369,0,0
2.08333333333333,0.014937212690711,0.45437154173851,0.0249967034906149,0.130427345633507,1.39002394676208,1.2395122051239,5.55902242660522,0.0698518380522728,5.76695203781128,0.0963162928819656,0.740001201629639,7.3998703956604,5.09996509552002,4.69996404647827,5.09790086746216,19.7654552459717,7.0000467300415,17.3991317749023,22.9979095458984,10.0005302429199,0,0
