EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"7/24/2015 3:59:21 PM"
ModelName,REcosystem
EcosimScenario,"Double F on RF1"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493715, 0.4543707, 0.02499767, 0.1304323, 1.390489, 1.243657, 5.558103, 0.06986771, 5.766666, 0.09637964, 0.7399651, 7.399099, 5.099774, 4.699787, 5.09675, 19.76375, 7.00008, 17.3981, 22.99821, 10.00057, 3636.409, 1.218376
0.01493715, 0.4543706, 0.02499778, 0.130433, 1.39049, 1.244201, 5.557924, 0.06987036, 5.76665, 0.09638707, 0.7399619, 7.399004, 5.099761, 4.699776, 5.096485, 19.76371, 7.000091, 17.3981, 22.99817, 10.00059, 3636.414, 1.218369
0.01493714, 0.4543706, 0.0249979, 0.1304338, 1.390489, 1.244709, 5.557745, 0.06987305, 5.766634, 0.09639482, 0.7399586, 7.398904, 5.099749, 4.699766, 5.096222, 19.76367, 7.000103, 17.39811, 22.99812, 10.00061, 3636.42, 1.218361
0.01493713, 0.4543705, 0.02499801, 0.130434, 1.390488, 1.24466, 5.558086, 0.06987289, 5.766622, 0.09640283, 0.7399552, 7.3988, 5.099737, 4.699756, 5.095965, 19.76363, 7.000114, 17.39812, 22.99809, 10.00063, 3636.425, 1.218353
0.01493712, 0.4543704, 0.02499813, 0.1304339, 1.390486, 1.244353, 5.558718, 0.06987074, 5.766611, 0.09641105, 0.7399518, 7.398679, 5.099719, 4.69974, 5.095715, 19.76356, 7.000124, 17.39809, 22.99808, 10.00064, 3636.429, 1.218349
0.01493711, 0.4543704, 0.02499824, 0.1304338, 1.390483, 1.244125, 5.559334, 0.06986893, 5.7666, 0.09641944, 0.7399483, 7.398533, 5.099691, 4.699715, 5.095471, 19.76344, 7.000134, 17.39801, 22.99809, 10.00064, 3636.433, 1.218349
0.0149371, 0.4543703, 0.02499836, 0.1304336, 1.390479, 1.243955, 5.55994, 0.06986739, 5.766589, 0.09642793, 0.7399446, 7.398361, 5.099654, 4.69968, 5.095235, 19.76326, 7.000142, 17.3979, 22.99811, 10.00065, 3636.435, 1.21835
0.01493709, 0.4543702, 0.02499848, 0.1304335, 1.390473, 1.24383, 5.560539, 0.06986607, 5.766577, 0.09643649, 0.7399407, 7.398164, 5.099608, 4.699636, 5.095007, 19.76302, 7.00015, 17.39777, 22.99813, 10.00064, 3636.438, 1.21835
0.01493707, 0.4543701, 0.0249986, 0.1304333, 1.390467, 1.243736, 5.561133, 0.06986492, 5.766564, 0.09644508, 0.7399367, 7.397941, 5.099553, 4.699584, 5.094786, 19.76273, 7.000157, 17.39763, 22.99816, 10.00064, 3636.439, 1.21835
0.01493705, 0.45437, 0.02499872, 0.130433, 1.390459, 1.243666, 5.561724, 0.06986392, 5.76655, 0.09645367, 0.7399325, 7.397694, 5.099489, 4.699524, 5.094572, 19.76239, 7.000165, 17.39749, 22.99818, 10.00063, 3636.441, 1.218347
