EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"7/2/2015 1:56:55 PM"
ModelName,REcosystem
EcosimScenario,"Double F on shellfish"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493703, 0.4543715, 0.024996, 0.1304292, 1.390031, 1.233585, 5.559932, 0.06984533, 5.766977, 0.09635026, 0.7400163, 7.400004, 5.099998, 4.699996, 5.09999, 19.76536, 6.999971, 17.39983, 22.99945, 9.999828, 3636.442, 1.218075
0.01493703, 0.4543715, 0.02499603, 0.1304295, 1.390025, 1.233594, 5.559876, 0.069845, 5.766962, 0.09634537, 0.7400135, 7.4, 5.100008, 4.700009, 5.100025, 19.76535, 6.999979, 17.4, 22.99952, 9.999939, 3636.362, 1.218261
0.01493704, 0.4543715, 0.02499607, 0.13043, 1.390024, 1.233652, 5.559852, 0.06984495, 5.766952, 0.09634104, 0.7400116, 7.399994, 5.100009, 4.700011, 5.100029, 19.7653, 6.999967, 17.39977, 22.99955, 10.00002, 3636.328, 1.218344
0.01493706, 0.4543715, 0.02499611, 0.1304305, 1.390026, 1.233804, 5.559842, 0.06984501, 5.766944, 0.09633716, 0.7400101, 7.399991, 5.100006, 4.700008, 5.100008, 19.76524, 6.999943, 17.39935, 22.99954, 10.00008, 3636.315, 1.218384
0.01493707, 0.4543715, 0.02499615, 0.1304308, 1.390029, 1.234087, 5.559834, 0.06984513, 5.766936, 0.0963337, 0.7400088, 7.399987, 5.099999, 4.700002, 5.099959, 19.76515, 6.999914, 17.39892, 22.99949, 10.00012, 3636.313, 1.218405
0.01493709, 0.4543715, 0.02499619, 0.130431, 1.390032, 1.23452, 5.559817, 0.06984527, 5.766928, 0.09633069, 0.7400074, 7.399981, 5.099992, 4.699994, 5.099874, 19.76506, 6.999886, 17.39853, 22.9994, 10.00015, 3636.314, 1.218418
0.01493711, 0.4543715, 0.02499624, 0.1304309, 1.390034, 1.235104, 5.559785, 0.06984542, 5.766917, 0.09632816, 0.7400059, 7.399972, 5.099983, 4.699985, 5.099743, 19.76494, 6.999858, 17.3982, 22.99924, 10.00019, 3636.318, 1.218427
0.01493713, 0.4543714, 0.02499629, 0.1304306, 1.390036, 1.235826, 5.559731, 0.06984559, 5.766904, 0.09632613, 0.7400041, 7.399958, 5.099972, 4.699973, 5.099557, 19.76482, 6.999834, 17.39792, 22.99904, 10.00024, 3636.324, 1.218433
0.01493715, 0.4543714, 0.02499636, 0.1304299, 1.390036, 1.236662, 5.559647, 0.06984582, 5.766889, 0.09632465, 0.7400022, 7.399935, 5.099958, 4.699959, 5.09931, 19.76468, 6.999813, 17.39768, 22.99879, 10.00031, 3636.331, 1.218436
0.01493717, 0.4543714, 0.02499643, 0.1304289, 1.390035, 1.237581, 5.559525, 0.06984612, 5.766872, 0.09632376, 0.74, 7.399904, 5.099943, 4.699943, 5.099002, 19.76452, 6.999795, 17.39749, 22.99852, 10.00038, 3636.339, 1.218436
0.01493718, 0.4543713, 0.02499651, 0.1304276, 1.390032, 1.238549, 5.559359, 0.06984653, 5.766854, 0.0963235, 0.7399977, 7.399862, 5.099925, 4.699924, 5.098635, 19.76437, 6.999782, 17.39732, 22.99824, 10.00046, 3636.348, 1.218433
0.0149372, 0.4543713, 0.0249966, 0.130426, 1.390028, 1.239532, 5.559141, 0.06984705, 5.766834, 0.09632388, 0.7399951, 7.399809, 5.099905, 4.699903, 5.098215, 19.76421, 6.999772, 17.39718, 22.99796, 10.00054, 3636.359, 1.218427
0.01493721, 0.4543712, 0.0249967, 0.1304243, 1.390021, 1.240501, 5.558864, 0.06984772, 5.766812, 0.09632492, 0.7399923, 7.399746, 5.099885, 4.699882, 5.09775, 19.76406, 6.999765, 17.39707, 22.9977, 10.00063, 3636.372, 1.218418
0.01493722, 0.4543712, 0.02499681, 0.1304224, 1.390011, 1.241429, 5.558522, 0.06984857, 5.76679, 0.09632665, 0.7399894, 7.399672, 5.099864, 4.699859, 5.097252, 19.76392, 6.999763, 17.397, 22.99746, 10.00071, 3636.385, 1.218405
0.01493723, 0.4543711, 0.02499693, 0.1304204, 1.39, 1.242298, 5.55811, 0.0698496, 5.766767, 0.09632905, 0.7399863, 7.399589, 5.099844, 4.699837, 5.096734, 19.76381, 6.999766, 17.39696, 22.99726, 10.00079, 3636.399, 1.218389
0.01493723, 0.4543711, 0.02499704, 0.1304185, 1.389985, 1.243094, 5.557625, 0.06985084, 5.766744, 0.09633212, 0.7399831, 7.399498, 5.099826, 4.699818, 5.096207, 19.76372, 6.999772, 17.39696, 22.99711, 10.00086, 3636.412, 1.218369
0.01493723, 0.454371, 0.02499716, 0.1304165, 1.389969, 1.243811, 5.557063, 0.06985229, 5.76672, 0.09633584, 0.7399797, 7.399403, 5.099813, 4.699802, 5.095684, 19.76367, 6.999782, 17.397, 22.99699, 10.00092, 3636.425, 1.218346
0.01493723, 0.4543709, 0.02499728, 0.1304145, 1.38995, 1.244447, 5.556422, 0.06985397, 5.766697, 0.09634018, 0.7399762, 7.399306, 5.099805, 4.699792, 5.095175, 19.76367, 6.999795, 17.39709, 22.99691, 10.00097, 3636.437, 1.21832
0.01493722, 0.4543708, 0.0249974, 0.1304127, 1.38993, 1.245007, 5.555699, 0.06985588, 5.766675, 0.09634512, 0.7399726, 7.399212, 5.099805, 4.69979, 5.094692, 19.76373, 6.999811, 17.39722, 22.99686, 10.00101, 3636.448, 1.218291
