"","Group","StartBio","EndBio","StartCatch","EndCatch"
"1","Outside",0,0,0,0
"2","Apex pred",0.055,0.0549999187973623,0.000425,0.000424999372961113
"3","Juv Apex",0.055,0.0549998079697207,8.33333333333333e-06,8.33330425763593e-06
"4","Mesopelagics",2.533,2.53299922503839,0.004175,0.00417499872360871
"5","Epipelagics",0.516,0.515999774351046,0.000425,0.000424999814255881
"6","Benthic fishes",1.388,0.971174677853154,0.00250833333333333,0.00351011615493911
"7","Benthopelagics",0.022,0.0221737846517301,0,0
"8","Zooplankton Lg",9.864,9.8639786510401,0,0
"9","Benthos",4.772,5.32784890723785,0,0
"10","Microzooplankton",2.434,2.43400092403009,0,0
"11","Phytoplankton",0.9,0.899999832232831,0,0
