"","Group","StartBio","EndBio","BioES","StartCatch","EndCatch","CatchES"
"1","Outside",1,1,1,12,6.00133334561116e-315,5.00111112134263e-316
"2","Seabirds",0.0149,0.0149000003191971,1.00000002142263,3.46072495021329e-315,3.46072495021329e-315,1
"3","Whales",0.454,0.454000000027038,1.00000000005956,1.18575755001899e-322,1.16846934311018e-307,985420116525057
"4","Seals",0.0250000000000019,0.0250000039553155,1.00000015821254,3.46072495021329e-315,3.46072495021329e-315,1
"5","JuvRoundfish1",0.130424921846617,0.130424919787265,0.999999984210445,6.97740247909083e-315,6.00787066413593e-315,0.861046884157779
"6","AduRoundfish1",1.39,1.38999995571664,0.999999968141469,6.97740911933311e-315,6.00115785349376e-315,0.86008398688643
"7","JuvRoundfish2",1.23258692221178,1.23258692035669,0.999999998494956,6.14576525544575e-315,6.00115785349376e-315,0.976470399382101
"8","AduRoundfish2",5.553,5.5530023932832,1.00000043098923,6.97740911933311e-315,6.97866222791197e-315,1.00017959511295
"9","JuvFlatfish1",0.0698805153865218,0.0698805151807925,0.999999997055985,3.46072495021329e-315,3.46072495021329e-315,1
"10","AduFlatfish1",5.76599999999999,5.76599996256552,0.999999993507724,12,1.16850499291153e-307,9.73754160759609e-309
"11","JuvFlatfish2",0.0962858757346579,0.0962858753485328,0.999999995989805,3.46072495021329e-315,1.17686436839385e-319,3.4006295944476e-05
"12","AduFlatfish2",0.739000000000001,0.739000061197062,1.00000008281064,6.97740579921197e-315,6.00104781519312e-315,0.860068625486979
"13","OtherGroundfish",7.4,7.3999999536877,0.999999993741582,6.97741243945425e-315,8.28800628052064e-309,1187833.7926042
"14","Foragefish1",5.1,5.09999999071039,0.999999998178507,6.14576525544575e-315,3.46072495021329e-315,0.563107246432288
"15","Foragefish2",4.7,4.69999999556444,0.999999999056263,5.99827314252607e-315,6.00116923676624e-315,1.00048282133397
"16","OtherForagefish",5.1,5.10000001057593,1.00000000207371,3.46072495021329e-315,6.00139642791282e-315,1.73414429469263
"17","Megabenthos",19.7653839113683,19.7653839293553,1.00000000091003,12,6.35734424382282e-315,5.29778686985235e-316
"18","Shellfish",7,6.99999998998153,0.99999999856879,3.46072495021329e-315,6.00139310779168e-315,1.73414333532106
"19","Macrobenthos",17.4,17.400000007919,1.00000000045511,6.97740911933311e-315,3.46072495021329e-315,0.495989971495904
"20","Zooplankton",23,23.0000000019252,1.00000000008371,6.97741575957539e-315,1.00170848428475e-307,14356439.6733857
"21","Phytoplankton",10,9.99999999936144,0.999999999936144,6.79266240140391e-315,3.46072495021329e-315,0.509479898411854
"22","Detritus",3636.66731670927,3636.66731846356,1.00000000048239,6.97741575957539e-315,6.00117255688738e-315,0.860085275648326
"23","Discards",1.2182202,1.21822024735892,1.0000000388755,3.46072495021329e-315,6.0011659166451e-315,1.73407768689483
"24","Trawlers",0,0,NA,0,0,NA
"25","Midwater",0,0,NA,0,0,NA
"26","Dredgers",0,0,NA,0,0,NA
