,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
1,Seabirds,,,,,,,,,,,,,,,,,,,,
2,Whales,,,,,,,,,,,,,,,,,,,,
3,Seals,,,,,,,,,,,,,,,,,,,,
4,JuvRoundfish1,,0.2430307,0.3301461,0.0008414045,,0.01034008,0.01609218,0.0004289237,,0.0004317322,,0.01000954,0.01376359,0.02035941,0.0140764,,,,,
5,AduRoundfish1,,,0.06195871,,,,,,,,,0.0009392483,,,,,,,,
6,JuvRoundfish2,,0.02571813,0.0349369,8.903959E-05,0.002469768,0.001094214,0.001702916,4.538981E-05,,4.568701E-05,,0.001059235,0.001456499,0.002154485,0.001489601,,,,,
7,AduRoundfish2,,,0.03102008,,0.005482198,,,,,,,0.0002351208,,,,,,,,
8,JuvFlatfish1,,0.4538352,0.06165143,0.001571238,0.04358278,0.01930906,0.03005052,0.0008009716,0.01188757,0.0008062162,0.001789084,0.0186918,0.02570211,0.03801914,0.02628625,,,,,
9,AduFlatfish1,,,0.007468142,,0.02639698,,0.0003640168,,0.000144,,,0.000226423,,,,,,,,
10,JuvFlatfish2,,0.3290195,0.0446958,0.001139109,0.03159646,0.0139986,0.0217859,0.000580685,0.008618201,0.0005844872,0.001297043,0.01355111,0.01863341,0.02756296,0.0190569,,,,,
11,AduFlatfish2,,,0.0116474,,0.04116905,,0.002838625,,0.001122921,,,0.001765661,,,,,,,,
12,OtherGroundfish,0.01549219,,0.02793165,0.0001483045,0.1192958,0.001822524,0.2836379,,0.0001122032,,,0.08821319,,,,,,,,
13,Foragefish1,0.05619715,,0.008443393,,0.05968824,,0.2057765,,,,,0.204793,,,,,,,,
14,Foragefish2,0.04878391,,0.00916198,,0.06476809,,0.2232894,,,,,0.2755555,,,,,,,,
15,OtherForagefish,0.03371829,0.06215442,0.008443393,0.01075934,0.2071182,0.1322224,0.2057765,1.09696E-05,0.001628047,1.104143E-05,2.450217E-05,0.7679737,,,,,,,,
16,Megabenthos,,,0.002178627,5.552411E-06,0.004620361,6.823399E-05,0.2850193,2.830459E-06,0.02100404,2.848992E-06,6.322232E-06,0.09907915,,,,0.2984,,,,
17,Shellfish,,,0.01107291,,,,0.02998458,,0.001186149,,1.785158E-05,0.01865079,,,,0.2527704,,0.4971428,,
18,Macrobenthos,,,,0.00126144,0.008747415,0.01550193,0.4463222,0.01337535,0.2863117,0.01346293,0.03159935,0.2250957,,,,1.864303,,4,,
19,Zooplankton,,0.1185258,,0.0371464,0.001323522,0.4564948,0.0009125742,0.01054198,0.08934793,0.01060121,0.02116188,0.005676327,0.6397156,0.9462816,0.6542546,,0.4747826,3.026087,31.2,
20,Phytoplankton,,,,0.01097453,,0.1348668,,0.005594498,,0.00563113,,,0.107712,0.15933,0.11016,,1.82,,215.28,
