"","Group","TL","Biomass","PB","QB","EE","GE","Removals"
"127","Herring Fleet",4.523926065775,0,0,0,0,0,0
"128","Salmon Fleet",4.82708125,0,0,0,0,0,0
"129","Subsistence FIshery",5.05419923310719,0,0,0,0,0,0
"130","Flatfish Trawl",4.8724628915328,0,0,0,0,0,0
"131","Other Groundfish Trawl",4.73062802674899,0,0,0,0,0,0
"132","P. Cod HookLine",5.11028204726506,0,0,0,0,0,0
"133","P. Cod Pot",5.07694956493292,0,0,0,0,0,0
"134","P. Cod Trawl",5.0379100462044,0,0,0,0,0,0
"135","Pollock Trawl",4.71421699109448,0,0,0,0,0,0
"136","Rockfish Trawl",4.77035566857937,0,0,0,0,0,0
"137","Sablefish HookLine",5.13144574112935,0,0,0,0,0,0
"138","shrimp trawl",3.9075,0,0,0,0,0,0
