EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"7/2/2015 1:56:58 PM"
ModelName,REcosystem
EcosimScenario,"Double F on shellfish"
TimeSeries,(none)
StartYear,0

Data, Yield

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
1.000001E-05, 1E-07, 0.002000002, 0.002999956, 0.1450032, 0.002999993, 0.3895066, 0.001999969, 0.1800305, 0.001999873, 0.07005697, 0.3800002, 0.3509999, 0.09099992, 0.03099994, 0.1900002, 0.5102979, 9.999902E-05, 0, 0, 0, 0
1.000001E-05, 1E-07, 0.002000005, 0.002999963, 0.1450026, 0.003000015, 0.3895027, 0.00199996, 0.18003, 0.001999771, 0.0700567, 0.38, 0.3510006, 0.09100018, 0.03100015, 0.1900001, 0.5102985, 0.0001, 0, 0, 0, 0
1.000002E-05, 1E-07, 0.002000008, 0.002999975, 0.1450025, 0.003000155, 0.389501, 0.001999958, 0.1800297, 0.001999681, 0.07005652, 0.3799997, 0.3510007, 0.09100022, 0.03100018, 0.1899996, 0.5102976, 9.999867E-05, 0, 0, 0, 0
1.000003E-05, 1E-07, 0.002000011, 0.002999986, 0.1450027, 0.003000527, 0.3895003, 0.00199996, 0.1800295, 0.001999601, 0.07005638, 0.3799995, 0.3510004, 0.09100015, 0.03100005, 0.189999, 0.5102958, 9.999629E-05, 0, 0, 0, 0
1.000004E-05, 1E-07, 0.002000014, 0.002999994, 0.145003, 0.003001215, 0.3894998, 0.001999964, 0.1800292, 0.001999529, 0.07005625, 0.3799993, 0.351, 0.09100004, 0.03099976, 0.1899982, 0.5102937, 9.999381E-05, 0, 0, 0, 0
1.000005E-05, 1E-07, 0.002000018, 0.002999999, 0.1450033, 0.003002266, 0.3894986, 0.001999968, 0.180029, 0.001999466, 0.07005613, 0.379999, 0.3509994, 0.09099989, 0.03099924, 0.1899973, 0.5102916, 9.999156E-05, 0, 0, 0, 0
1.000006E-05, 1E-07, 0.002000021, 0.002999997, 0.1450036, 0.003003686, 0.3894964, 0.001999972, 0.1800286, 0.001999414, 0.07005598, 0.3799986, 0.3509988, 0.0909997, 0.03099844, 0.1899962, 0.5102897, 9.998964E-05, 0, 0, 0, 0
1.000008E-05, 1E-07, 0.002000026, 0.002999988, 0.1450038, 0.003005442, 0.3894926, 0.001999977, 0.1800282, 0.001999371, 0.07005581, 0.3799978, 0.3509981, 0.09099948, 0.03099731, 0.189995, 0.5102879, 9.998804E-05, 0, 0, 0, 0
1.000009E-05, 1E-07, 0.002000031, 0.002999972, 0.1450038, 0.003007476, 0.3894867, 0.001999983, 0.1800278, 0.001999341, 0.07005563, 0.3799967, 0.3509971, 0.09099922, 0.03099581, 0.1899936, 0.5102863, 9.998669E-05, 0, 0, 0, 0
1.00001E-05, 1E-07, 0.002000036, 0.002999949, 0.1450037, 0.003009711, 0.3894781, 0.001999992, 0.1800272, 0.001999322, 0.07005543, 0.379995, 0.3509961, 0.0909989, 0.03099394, 0.1899922, 0.5102851, 9.998555E-05, 0, 0, 0, 0
