EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"4/13/2015 10:13:08 PM"
ModelName,REcosystem
EcosimScenario,"Double trawling effort"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493703, 0.4543715, 0.024996, 0.1304292, 1.390031, 1.232542, 5.559953, 0.06984533, 5.766977, 0.09633693, 0.7400133, 7.400004, 5.099998, 4.699996, 5.09999, 19.76536, 6.999996, 17.39983, 22.99945, 9.999829, 3636.442, 1.218075
0.01493703, 0.4543715, 0.02499603, 0.1304295, 1.390025, 1.232551, 5.559897, 0.069845, 5.766962, 0.09633205, 0.7400104, 7.4, 5.100008, 4.700009, 5.100025, 19.76535, 7.000027, 17.4, 22.99952, 9.999939, 3636.362, 1.218261
0.01493704, 0.4543715, 0.02499607, 0.13043, 1.390024, 1.232609, 5.559873, 0.06984495, 5.766952, 0.09632773, 0.7400085, 7.399994, 5.100009, 4.700011, 5.100029, 19.7653, 7.000036, 17.39977, 22.99955, 10.00002, 3636.329, 1.218345
0.01493706, 0.4543715, 0.02499611, 0.1304304, 1.390026, 1.232762, 5.559864, 0.06984501, 5.766944, 0.09632385, 0.740007, 7.399991, 5.100006, 4.700008, 5.100008, 19.76524, 7.000032, 17.39936, 22.99954, 10.00008, 3636.316, 1.218385
0.01493707, 0.4543715, 0.02499615, 0.1304308, 1.390029, 1.233045, 5.559855, 0.06984513, 5.766936, 0.0963204, 0.7400057, 7.399987, 5.099999, 4.700002, 5.099959, 19.76516, 7.000022, 17.39892, 22.99949, 10.00012, 3636.313, 1.218406
0.01493709, 0.4543715, 0.02499619, 0.130431, 1.390032, 1.233479, 5.559839, 0.06984527, 5.766928, 0.09631739, 0.7400044, 7.399981, 5.099992, 4.699994, 5.099874, 19.76506, 7.000011, 17.39853, 22.99939, 10.00015, 3636.314, 1.218419
0.01493711, 0.4543715, 0.02499624, 0.1304309, 1.390034, 1.234064, 5.559807, 0.06984542, 5.766917, 0.09631485, 0.7400028, 7.399972, 5.099983, 4.699985, 5.099742, 19.76495, 7, 17.3982, 22.99924, 10.00019, 3636.318, 1.218428
0.01493713, 0.4543714, 0.0249963, 0.1304305, 1.390036, 1.234788, 5.559752, 0.06984559, 5.766904, 0.09631281, 0.7400011, 7.399958, 5.099972, 4.699973, 5.099555, 19.76482, 6.999991, 17.39792, 22.99903, 10.00025, 3636.324, 1.218434
0.01493715, 0.4543714, 0.02499636, 0.1304298, 1.390036, 1.235627, 5.559668, 0.06984581, 5.766889, 0.09631133, 0.7399992, 7.399935, 5.099958, 4.699959, 5.099308, 19.76468, 6.999984, 17.39769, 22.99878, 10.00031, 3636.331, 1.218437
0.01493717, 0.4543714, 0.02499643, 0.1304289, 1.390035, 1.236548, 5.559546, 0.06984611, 5.766873, 0.09631044, 0.739997, 7.399904, 5.099943, 4.699943, 5.098999, 19.76453, 6.999979, 17.3975, 22.99851, 10.00038, 3636.339, 1.218437
0.01493718, 0.4543713, 0.02499652, 0.1304275, 1.390032, 1.237519, 5.559379, 0.0698465, 5.766854, 0.09631016, 0.7399946, 7.399862, 5.099925, 4.699924, 5.09863, 19.76438, 6.999976, 17.39733, 22.99822, 10.00046, 3636.348, 1.218434
0.0149372, 0.4543713, 0.02499661, 0.130426, 1.390028, 1.238505, 5.55916, 0.06984703, 5.766834, 0.09631053, 0.7399921, 7.39981, 5.099905, 4.699903, 5.098209, 19.76422, 6.999977, 17.39719, 22.99794, 10.00054, 3636.359, 1.218429
0.01493721, 0.4543712, 0.02499671, 0.1304243, 1.39002, 1.239476, 5.558882, 0.0698477, 5.766813, 0.09631155, 0.7399893, 7.399746, 5.099884, 4.69988, 5.097743, 19.76407, 6.99998, 17.39709, 22.99768, 10.00063, 3636.372, 1.21842
