EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"7/24/2015 3:12:32 PM"
ModelName,REcosystem
EcosimScenario,"Base Scenario"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493703, 0.4543715, 0.024996, 0.1304292, 1.390031, 1.233585, 5.559932, 0.06984533, 5.766977, 0.09635026, 0.7400163, 7.400004, 5.099998, 4.699996, 5.09999, 19.76536, 6.999996, 17.39983, 22.99945, 9.999828, 3636.442, 1.218075
0.01493703, 0.4543715, 0.02499606, 0.1304285, 1.390033, 1.233582, 5.55992, 0.06984497, 5.766969, 0.09634545, 0.740015, 7.400001, 5.09999, 4.699988, 5.099971, 19.7653, 6.999979, 17.39942, 22.99941, 9.99995, 3636.356, 1.218241
0.01493704, 0.4543714, 0.02499611, 0.1304282, 1.390034, 1.233604, 5.559903, 0.06984465, 5.766959, 0.09634125, 0.7400135, 7.399995, 5.099982, 4.69998, 5.099952, 19.76523, 6.999968, 17.39907, 22.99945, 10.00004, 3636.323, 1.218323
0.01493705, 0.4543714, 0.02499617, 0.1304279, 1.390035, 1.233673, 5.559883, 0.06984437, 5.766947, 0.09633763, 0.7400118, 7.399987, 5.099975, 4.699974, 5.099932, 19.76514, 6.999962, 17.39882, 22.99952, 10.00009, 3636.314, 1.218364
0.01493706, 0.4543714, 0.02499622, 0.1304278, 1.390036, 1.233808, 5.559861, 0.06984421, 5.766934, 0.0963346, 0.74001, 7.399976, 5.099969, 4.699967, 5.099905, 19.76504, 6.999961, 17.39864, 22.99956, 10.00012, 3636.315, 1.218382
0.01493707, 0.4543713, 0.02499628, 0.1304277, 1.390036, 1.234021, 5.559834, 0.06984417, 5.766921, 0.09633219, 0.7400082, 7.399963, 5.099963, 4.699962, 5.099868, 19.76495, 6.999962, 17.39853, 22.99956, 10.00013, 3636.319, 1.21839
0.01493709, 0.4543713, 0.02499634, 0.1304276, 1.390036, 1.234319, 5.559804, 0.0698443, 5.766907, 0.09633041, 0.7400063, 7.399948, 5.099957, 4.699956, 5.099815, 19.76485, 6.999965, 17.39845, 22.99953, 10.00015, 3636.323, 1.218393
0.0149371, 0.4543713, 0.0249964, 0.1304275, 1.390035, 1.234701, 5.559766, 0.06984459, 5.766893, 0.09632928, 0.7400044, 7.399931, 5.099951, 4.69995, 5.099742, 19.76475, 6.999969, 17.39839, 22.99947, 10.00016, 3636.326, 1.218394
0.0149371, 0.4543712, 0.02499646, 0.1304274, 1.390033, 1.235163, 5.55972, 0.06984507, 5.76688, 0.0963288, 0.7400024, 7.399912, 5.099945, 4.699944, 5.099648, 19.76466, 6.999973, 17.39835, 22.99938, 10.00018, 3636.33, 1.218393
0.01493711, 0.4543712, 0.02499652, 0.1304271, 1.390031, 1.235696, 5.559664, 0.06984574, 5.766866, 0.096329, 0.7400004, 7.399889, 5.099937, 4.699937, 5.099532, 19.76457, 6.999978, 17.39831, 22.99928, 10.00021, 3636.333, 1.218391
0.01493712, 0.4543712, 0.02499659, 0.1304268, 1.390028, 1.236289, 5.559597, 0.06984662, 5.766851, 0.09632988, 0.7399982, 7.399864, 5.09993, 4.69993, 5.099393, 19.76448, 6.999983, 17.39827, 22.99917, 10.00024, 3636.338, 1.218389
0.01493713, 0.4543712, 0.02499666, 0.1304264, 1.390024, 1.236932, 5.559518, 0.0698477, 5.766837, 0.09633143, 0.7399961, 7.399835, 5.099922, 4.699923, 5.099232, 19.7644, 6.999989, 17.39824, 22.99905, 10.00027, 3636.342, 1.218387
0.01493714, 0.4543711, 0.02499674, 0.130426, 1.390019, 1.23761, 5.559426, 0.06984898, 5.766823, 0.09633365, 0.7399939, 7.399801, 5.099913, 4.699914, 5.099051, 19.76432, 6.999995, 17.39821, 22.99894, 10.00031, 3636.348, 1.218384
0.01493714, 0.4543711, 0.02499681, 0.1304255, 1.390013, 1.238312, 5.559321, 0.06985047, 5.766809, 0.09633653, 0.7399916, 7.399764, 5.099904, 4.699906, 5.098852, 19.76424, 7.000002, 17.39818, 22.99883, 10.00034, 3636.354, 1.218381
0.01493715, 0.4543711, 0.0249969, 0.130425, 1.390005, 1.239027, 5.559204, 0.06985215, 5.766794, 0.09634005, 0.7399893, 7.399722, 5.099895, 4.699897, 5.098636, 19.76417, 7.00001, 17.39816, 22.99873, 10.00037, 3636.36, 1.218377
0.01493715, 0.454371, 0.02499698, 0.1304245, 1.389997, 1.239743, 5.559075, 0.06985401, 5.76678, 0.09634418, 0.7399869, 7.399675, 5.099885, 4.699888, 5.098407, 19.7641, 7.000019, 17.39813, 22.99863, 10.00041, 3636.367, 1.218373
0.01493715, 0.454371, 0.02499707, 0.1304239, 1.389987, 1.240453, 5.558936, 0.06985603, 5.766766, 0.0963489, 0.7399845, 7.399623, 5.099874, 4.699879, 5.098167, 19.76403, 7.000028, 17.39812, 22.99854, 10.00044, 3636.375, 1.218368
0.01493715, 0.4543709, 0.02499717, 0.1304233, 1.389976, 1.241147, 5.558787, 0.06985822, 5.766751, 0.09635418, 0.7399819, 7.399567, 5.099864, 4.69987, 5.097919, 19.76396, 7.000037, 17.39811, 22.99846, 10.00047, 3636.382, 1.218363
0.01493715, 0.4543709, 0.02499726, 0.1304227, 1.389964, 1.241819, 5.55863, 0.06986053, 5.766737, 0.09635998, 0.7399794, 7.399506, 5.099854, 4.699861, 5.097665, 19.7639, 7.000047, 17.3981, 22.99839, 10.0005, 3636.389, 1.218357
0.01493715, 0.4543708, 0.02499736, 0.1304221, 1.389951, 1.242464, 5.558465, 0.06986296, 5.766723, 0.09636626, 0.7399768, 7.39944, 5.099844, 4.699852, 5.097407, 19.76384, 7.000058, 17.39809, 22.99832, 10.00053, 3636.396, 1.21835
0.01493715, 0.4543708, 0.02499747, 0.1304214, 1.389936, 1.243078, 5.558295, 0.06986549, 5.766709, 0.09637299, 0.7399742, 7.39937, 5.099835, 4.699843, 5.097147, 19.76379, 7.000069, 17.39809, 22.99826, 10.00055, 3636.402, 1.218343
0.01493715, 0.4543707, 0.02499757, 0.1304207, 1.389921, 1.243659, 5.558121, 0.06986812, 5.766695, 0.09638011, 0.7399715, 7.399296, 5.099825, 4.699835, 5.096889, 19.76374, 7.00008, 17.39809, 22.99821, 10.00057, 3636.408, 1.218336
