EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"3/27/2015 11:10:12 AM"
ModelName,REcosystem
EcosimScenario,"Base Scenario"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493721, 0.454371, 0.02499763, 0.1304118, 1.389896, 1.244963, 5.554216, 0.06986508, 5.766841, 0.09634899, 0.7399763, 7.399323, 5.09995, 4.69993, 5.093983, 19.76606, 7.000149, 17.39885, 22.99696, 10.00099, 1E-20, 1.000233E-20
0.01493719, 0.4543709, 0.02499774, 0.1304101, 1.389872, 1.245346, 5.553249, 0.06986759, 5.766828, 0.09635541, 0.7399725, 7.399285, 5.099988, 4.699964, 5.093612, 19.76637, 7.000168, 17.39901, 22.99698, 10.001, 1E-20, 1.000208E-20
0.01493717, 0.4543708, 0.02499784, 0.1304085, 1.389847, 1.245693, 5.552199, 0.06987029, 5.766816, 0.0963622, 0.7399684, 7.399271, 5.100041, 4.700012, 5.093288, 19.76678, 7.000188, 17.3992, 22.99701, 10.00101, 1E-20, 1.000182E-20
0.01493714, 0.4543706, 0.02499793, 0.1304069, 1.389822, 1.246017, 5.551067, 0.06987318, 5.766807, 0.09636932, 0.7399642, 7.399286, 5.100111, 4.700078, 5.093012, 19.7673, 7.000206, 17.39944, 22.99704, 10.00101, 1E-20, 1.000158E-20
0.01493711, 0.4543705, 0.02499801, 0.1304049, 1.389797, 1.245247, 5.550934, 0.06987256, 5.766803, 0.09637672, 0.7399598, 7.399339, 5.1002, 4.700161, 5.092784, 19.76792, 7.000224, 17.39971, 22.99707, 10.001, 1E-20, 1.000134E-20
0.01493708, 0.4543703, 0.02499808, 0.1304031, 1.389772, 1.244025, 5.551316, 0.06986962, 5.766804, 0.09638434, 0.7399551, 7.399406, 5.100296, 4.700252, 5.092602, 19.76858, 7.000237, 17.39993, 22.99713, 10.00099, 1E-20, 1.00012E-20
0.01493705, 0.4543701, 0.02499814, 0.1304015, 1.389748, 1.243057, 5.551588, 0.06986729, 5.766806, 0.09639208, 0.7399502, 7.399471, 5.100391, 4.700341, 5.092465, 19.76924, 7.000246, 17.40007, 22.99723, 10.00097, 1E-20, 1.000117E-20
0.01493702, 0.4543699, 0.02499819, 0.1304, 1.389724, 1.242316, 5.551768, 0.06986543, 5.766809, 0.09639988, 0.7399448, 7.39953, 5.100482, 4.700425, 5.092367, 19.76987, 7.00025, 17.40012, 22.99735, 10.00095, 1E-20, 1.000118E-20
0.014937, 0.4543697, 0.02499825, 0.1303987, 1.389701, 1.241776, 5.551867, 0.06986396, 5.766812, 0.09640766, 0.7399389, 7.399584, 5.100569, 4.700505, 5.092303, 19.77047, 7.000249, 17.40012, 22.99746, 10.00092, 1E-20, 1.000122E-20
0.01493697, 0.4543694, 0.0249983, 0.1303975, 1.389678, 1.241415, 5.551896, 0.06986282, 5.766814, 0.09641536, 0.7399325, 7.399633, 5.100652, 4.700581, 5.092264, 19.77103, 7.000246, 17.40007, 22.99756, 10.00089, 1E-20, 1.000127E-20
0.01493694, 0.4543692, 0.02499834, 0.1303963, 1.389655, 1.24121, 5.55186, 0.06986196, 5.766817, 0.09642293, 0.7399256, 7.399678, 5.100731, 4.700654, 5.092244, 19.77155, 7.000239, 17.4, 22.99763, 10.00086, 1E-20, 1.000133E-20
0.01493692, 0.4543689, 0.02499839, 0.1303952, 1.389634, 1.241137, 5.551767, 0.06986133, 5.766819, 0.09643032, 0.7399182, 7.399722, 5.100809, 4.700723, 5.092236, 19.77203, 7.000229, 17.39991, 22.99768, 10.00083, 1E-20, 1.00014E-20
0.0149369, 0.4543687, 0.02499844, 0.1303941, 1.389613, 1.241175, 5.551624, 0.06986091, 5.766819, 0.09643751, 0.7399101, 7.399767, 5.100884, 4.700791, 5.092234, 19.77249, 7.000218, 17.39981, 22.9977, 10.00081, 1E-20, 1.000146E-20
0.01493687, 0.4543684, 0.02499849, 0.130393, 1.389593, 1.2413, 5.551438, 0.06986065, 5.76682, 0.09644449, 0.7399016, 7.399816, 5.100958, 4.700858, 5.092232, 19.77291, 7.000205, 17.39971, 22.9977, 10.0008, 1E-20, 1.000152E-20
0.01493686, 0.4543681, 0.02499854, 0.1303919, 1.389574, 1.241488, 5.551215, 0.06986054, 5.766819, 0.09645122, 0.7398925, 7.39987, 5.101033, 4.700924, 5.092228, 19.77332, 7.000191, 17.39962, 22.99767, 10.0008, 1E-20, 1.000158E-20
