"","Group","TL","Biomass","PB","QB","EE","GE","Removals"
"1","AmLob",3.55311064250037,0.006,1.5,5,0.581555931779111,0.3,0.0042592996701
"2","AtlHal",4.70553907813504,8e-04,0.19,1.1,0.632793005197368,0.172727272727273,9.618453679e-05
"3","AtlHer",4.30371214107255,1.75,0.32,1.2,0.831434365253778,0.266666666666667,0.0260601606467
"4","AtlMack",4.33811868975182,0.3,0.32,1.2,0.173924301354768,0.266666666666667,0.000564104868
"5","AtlScal",2.45045045045045,0.3,1.3,6.5,1.02692748681572,0.2,0.1298280051592
"6","Bact",2,2.79841932576786,35,70,0.8,0.5,0
"7","BalWhale",4.14015971375799,3e-04,0.04,0.4,1.14583333385341,0.1,0
"8","Blu",5.29058243222681,0.002,0.15,0.83,0.655066393301179,0.180722891566265,0.000196519918
"9","BSB",4.52640716632275,2e-04,0.15,0.83,1.17379485275378,0.180722891566265,1.83388455768e-05
"10","But",4.41562456817906,0.02,0.95,3.4,0.280639788674518,0.279411764705882,0.00136969321477
"11","Clams",2.45045045045045,11,0.04,0.2,1.65463423452272,0.2,0.024618694
"12","Cod",4.40740253252244,0.09,0.3,1.2,0.769439118928753,0.25,0.019659769816
"13","Dolphins",5.17400115220421,2e-04,0.04,0.4,1.71875000074801,0.1,0
"14","GelZoo",3.72587239832554,0.140474326479951,40,133.333333333333,0.8,0.3,0
"15","Goose",5.28945035661537,0.02,0.35,1.2,0.215289266817168,0.291666666666667,0
"16","Had",4.28270520571797,0.15,0.3,1.2,0.278123630482561,0.25,0.01147777192411
"17","Illex",4.37674013769431,0.03,1,3.5,0.787949146674169,0.285714285714286,0.0014502924094
"18","LgPels",4.7804783860037,0.002,0.686,2.4,0.682875842199822,0.285833333333333,0.0009231556555
"19","LgSkates",4.35618588121243,0.09,0.35,1.2,0.331104159714353,0.291666666666667,0.010410498031
"20","Loligo",4.37939360374302,0.06,1,3.5,0.659227712929766,0.285714285714286,0.0041396196465
"21","Macroben",2.79453148047207,8,2,7,1.06688411470339,0.285714285714286,9.6683910906e-06
"22","Megaben",3.47843515689293,4,1.5,5,0.6660624949807,0.3,0.001654066439
"23","MesoPels",3.82343928221573,0.0498167314337276,0.95,3.16666666666667,0.8,0.3,1.205329305e-06
"24","Micronekton",3.46643261577155,2.1,4,13.3333333333333,0.689320832828638,0.3,0
"25","Microzoop",2.25225225225225,3.63675395010644,10,33.3333333333333,0.8,0.3,0
"26","OffHake",4.5120779001613,1e-04,0.35,1.2,0.630942857250548,0.291666666666667,0
"27","OthDem",4.50483043304455,0.45,0.35,1.16666666666667,0.634069300146192,0.3,0.0034690402948
"28","OthFlats",4.30847172184227,0.06,0.35,1.16666666666667,0.727670279775585,0.3,0.0086191234244
"29","OthPels",4.30371214107255,0.035,0.45,1.5,0.700271550632871,0.3,0.007064779213956
"30","OthShrimp",2.83416382273251,0.4,1.5,5,0.579989413636181,0.3,3.878976224e-05
"31","OthSquid",4.37674013769431,0.1,1,3.5,0.825334267889092,0.285714285714286,1.035651186663e-05
"32","Pol",4.78154519470238,0.02,0.35,1.2,0.764124668329604,0.291666666666667,0.0053295896783
"33","Pout",4.08988667446102,0.03,0.45,1.5,1.05946791704193,0.3,0.0006348787672
"34","Rays",3.95448853605565,2e-05,0.45,1.5,1.87499999999942,0.3,0
"35","Red",4.29725051726894,0.03,0.02,0.1,0.74692797088833,0.2,0.000431281782533
"36","RedCrab",3.55311064250037,0.0015,1.5,7,0.684669024888886,0.214285714285714,0.001540505306
"37","RedHake",4.34141381331553,0.06,0.35,1.2,0.797752964932953,0.291666666666667,0.0032453686973
"38","RivHer",3.87786924532431,0.105345663062666,0.42,1.4,0.8,0.3,9.7569974e-05
"39","Scup",4.15134544703016,0.001,0.95,3.2,0.255400299194736,0.296875,2.23489826e-05
"40","Seabirds",4.51077298422206,1e-04,0.286,2.8,1.44230769230768,0.102142857142857,0
"41","Seals",5.10717999192943,0.004,0.05,0.5,0.206249999999958,0.1,0
"42","Shad",3.86608237690567,5e-04,0.42,1.5,0.514321414303283,0.28,1.03374970037e-05
"43","Sharks",5.13129550698854,0.0025,0.1,0.55,0.852736500000001,0.181818181818182,0.000171934125
"44","SilHake",4.51207790016129,0.2,0.35,1.2,1.11216495001697,0.291666666666667,0.01103130914722
"45","SmDog",4.570246223482,5e-04,0.2,0.83,0.708930759999979,0.240963855421687,5.1610076e-05
"46","SmFlats",3.95448853605565,0.3,0.35,1.16666666666667,0.121858742377086,0.3,0.000220821332
"47","SmPels",3.63298860600078,0.08,1.5,5.35,1.47758912543797,0.280373831775701,0.016889961663
"48","SmSkates",4.34063910071175,0.1,0.35,1.2,0.993706885904,0.291666666666667,0.031778570743
"49","SpDog",4.81997292511037,0.1,0.2,0.83,0.617011774254996,0.240963855421687,0.0119609524851
"50","StrBass",5.15111810389465,0.002,0.15,0.55,0.661031085333307,0.272727272727273,0.0001814343256
"51","SumFl",4.97078082735442,0.002,0.35,1.2,0.819721504142768,0.291666666666667,0.0005569300529
"52","ToothWhale",5.17469492875514,3e-04,0.04,0.4,1.15583333086043,0.1,0
"53","Weak",3.93314900078881,8e-05,0.35,1.2,0.904883669582304,0.291666666666667,8.46174274836e-06
"54","WhHake",4.50865914855706,0.02,0.25,0.9,0.619880568753199,0.277777777777778,0.002270413959
"55","WinFl",4.33180260684115,0.05,0.35,1.2,0.439263318237981,0.291666666666667,0.007660612069165
"56","YTFl",4.23991034783666,0.05,0.45,1.2,0.583347961940889,0.375,0.009730586489
"57","Zoop",2.87992731794363,4,6,20,1.73009718657833,0.3,0
"58","SmPP",1,0.2,110,0,2.19695821478852,0,0
"59","LgPP",1,3,150,0,0.131670232219995,0,0
"60","Detritus",1,0.10821986335266,0.5,0,2360.30299772402,0,0
"61","Discards",1,0.66126884959476,0.5,0,346.533047254526,0,0
"62","dredge.o",3.45133685309079,0,0,0,0,0,0
"63","dredge.sc",3.76516173510308,0,0,0,0,0,0
