StanzaName,JuvNum,AduNum,RecAge,RecMonth,VonBK,AduZ_BAB,JuvZ_BAB,VonBD,Wmat50,Wmat001,Amat50,Amat001,RecPower
Pollock,1,2,2,0,0.192005243,0.6672099,1.453282,0.644610625,0.5,-1000000,44.26139477,24,1
Cod,3,4,2,0,0.125328856,0.4119,1.782068707,0.657007545,0.076923077,0.057692308,4,-1000000,1
Herring,5,6,3,0,0.28,0.32,1.05180901,0.666666667,0.208333333,0.15625,6,-1000000,1
Arrowtooth,7,8,2,0,0.087751575,0.18,0.810136289,0.637241866,0.375,0.28125,4,-1000000,1
