DIETS,W. Pollock_Juv,W. Pollock_Adu,P. Cod_Juv,P. Cod_Adu,Herring_Juv,Herring_Adu,Arrowtooth_Juv,Arrowtooth_Adu,Squids,Salmon returning,Salmon outgoing,Myctophidae,Capelin,Sandlance,Eulachon,Crab,Shrimp,OtherFEAST,Epifauna,GeorginaBenthos,Jellies,Euphausiids,Copepods,Microzooplankton,Lg Phytoplankton,Sm Phytoplankton
W. Pollock_Juv,0.009836675,0.045328037,0.006772491,0.032785515,0,0,0.237783254,0.512735243,0,0,0,0,0,0,0,0,0,0,9.69E-07,0,0.001113586,0,0,0,0,0
W. Pollock_Adu,0,0.087564205,0,0.296565453,0,0,0,0.211166335,0,0,0,0,0,0,0,0,0,0,0.000276998,0,0,0,0,0,0,0
P. Cod_Juv,0,0.000313483,0,0.000463258,0,0,0,2.55E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Cod_Adu,0,0.000692071,0,0.006138791,0,0,0,1.23E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring_Juv,0,1.68E-06,0,0.002037399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Herring_Adu,0,0.000919513,0,0.000413171,0,0,0,0.01367316,0,0,0,0,0,0,0,0,0,0,5.21E-05,0,0,0,0,0,0,0
Arrowtooth_Juv,0,0,0,5.09E-05,0,0,0,0.003490021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowtooth_Adu,0,0.000862629,0,0.000848647,0,0,0,2.53E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squids,0.000252521,0.002567036,0,0.001063963,0,0,0,0.009075567,0,0.25,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Salmon returning,0,0,0,0.001890364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmon outgoing,0,0,0,0,0,0,0,0,0.026737968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myctophidae,0.000891689,0.003663855,0,1.74E-06,0,0,0,0.003553326,0.026737968,0,0,0,0,0,0,0,0,0,0,0,0.002227171,0,0,0,0,0
Capelin,0.000391008,0.000776141,1.60E-05,0.004754962,0,0,0,0.012249668,0.026737968,0,0,0,0,0,0,0,0,0,1.82E-05,0,0.001113586,0,0,0,0,0
Sandlance,0.001368186,0.001746766,0.005867247,0.027370556,0,0,0,0.000424969,0.026737968,0,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Eulachon,0,9.88E-06,0,0.000165746,0,0,0,0.021568636,0.026737968,0,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Crab,3.60E-08,3.06E-05,0.001290292,0.084545548,0,0,0,3.77E-09,0,0,0,0,0,0,0,0,0,0,0.008185872,0,0,0,0,0,0,0
Shrimp,0.000544285,0.03679741,0.010130412,0.060660674,0,0,0.054619199,0.040770397,0,0,0,0,0,0,0,0,0,0,0.001107451,0,0,0,0,0,0,0
OtherFEAST,0.226966342,0.076774735,0.884509299,0.148086396,0,4.61E-04,0.454938698,0.027406654,0.203208556,0.4,0.25,0,0,0,0,0.070302741,0.3,0.012278085,0.084262311,0.03279532,0,0,0,0,0,0
Epifauna,0.000413411,0.002732565,0.007932338,0.224198013,0,0,0.005960195,0.047370913,0,0,0,0,0,0,0,0.202103978,0,0,0.040182761,0,0,0,0,0,0,0
GeorginaBenthos,0.006703856,0.004905625,0.043729279,0.082843312,0,0.000414052,0.00186576,0.0013008,0,0,0,0,0,0,0,0.57040611,0.1,0.457983224,0.452173621,0.078874289,0,0,0,0,0,0
Jellies,0,4.92E-05,0,5.56E-06,0,0.00E+00,0,2.38E-06,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
Euphausiids,0.330933672,0.359629105,0.033521859,0.025045975,0.8785541,0.956621908,0.244526915,0.095196363,0.449197861,0.2,0.25,0.9,0.9,0.9,0.9,0.000613712,0.2,0.007560674,1.28E-05,0,0.712694878,0,0,0,0,0
Copepods,0.42169832,0.374632131,0.006195113,6.31E-05,0.1214459,0.04250331,0.00030598,9.26E-06,0.213903743,0.2,0.5,0.1,0.1,0.1,0.1,0,0,0.014228593,0,0,0.167037862,0.25,0,0,0,0
Microzooplankton,0,3.26E-06,3.56E-05,9.20E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.008537154,4.60E-05,0.00E+00,0.055679287,0.15,0.5,0,0,0
Lg Phytoplankton,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.025333616,0,0,0.055679287,0.5,0.25,0,0,0
Sm Phytoplankton,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.005691435,0,0,0,0.1,0.25,0.7,0,0
Pelagic Detritus,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
Benthic Detritus,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.156573459,0.4,0.468387219,0.413680959,0.888330391,0,0,0,0,0,0
