Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discard,Detritus-POC,Fishery,FisheryDisc
Phytoplankton- Primary Producers,1,20.045,212.111,,,,0,0,,0.01,0.99,0,0
Bacteria,0,7.158,91.25,380.208,,,0,0.2,,0.01,0.99,0,0
Microzooplankton,0,4.721,72,242.424,,,0,0.1,,0.01,0.99,0,0
Small copepods,0,5.55,66.532,127.75,,,0,0.25,,0.01,0.99,0,0
Large Copepods,0,4.512,75.661,109.5,,,0,0.25,,0.01,0.99,0,0
Gelatinous Zooplankton,0,0.234,40,146,,,0,0.35,,0.01,0.99,0,6.36E-07
Micronekton,0,3.496,14.25,145.051,,,0,0.25,,0.01,0.99,0,0
Mesopelagics,0,0.181,0.95,1.825,,,0,0.15,,0.01,0.99,0,1.35E-04
Macrobenthos- polychaetes,0,20.954,2.5,17.5,,,0,0.5,,0.01,0.99,0,0.0000183
Macrobenthos- crustaceans,0,5.558,3,21,,,0,0.5,,0.01,0.99,0,1.89E-04
Macrobenthos- molluscs,0,32.885,2,14,,,0,0.6,,0.01,0.99,0,0.000724
Macrobenthos- other,0,32.447,2,18,,,0,0.5,,0.01,0.99,0,0.0302
Megabenthos- filterers,0,4.426,5,19,,,0,0.7,,0.01,0.99,2.972,0.104
Megabenthos- other,0,3.508,1.997,18,,,0,0.3,,0.01,0.99,0.0144,0.0195
Shrimp et al.,0,0.178,2,5,,,0,0.3,,0.01,0.99,0.03,2.65E-09
Larval-juv fish- all,0,0.166,21,45,,,0,0.15,,0.01,0.99,0,1.31E-01
Small Pelagics- commercial,0,5.738,0.37,2,,,0,0.15,,0.01,0.99,0.18,0.000156
Small Pelagics- other,0,2.494,0.95,2,,,0,0.35,,0.01,0.99,0.916,0.000562
Small Pelagics- squid,0,1.18,0.95,2.75,,,0,0.15,,0.01,0.99,0.023,0.0167
Small Pelagics- anadromous,0,0.507,0.425,2,,,0,0.15,,0.01,0.99,0.17,0.00303
Medium Pelagics- (piscivores & other),0,0.249,0.45,2.04,,,0,0.15,,0.01,0.99,0.0593,0.043
Demersals- benthivores,0,3.51,0.45,0.9,,,0,0.3,,0.01,0.99,0.0323,0.00228
Demersals- omnivores,0,2.306,0.45,0.8,,,0,0.35,,0.01,0.99,0.0281,0.0904
Demersals- piscivores,0,1.984,0.45,1.15,,,0,0.15,,0.01,0.99,0.356,0.0000721
Sharks- coastal,0,0.04,0.1,1.46,,,0,0.15,,0.01,0.99,0.001,0.000545
Sharks- pelagics,0,0.0269,0.1,1.32,,,0,0.15,,0.01,0.99,0.00104,0.00115
HMS,0,0.032,0.499,8.254,,,0,0.15,,0.01,0.99,0.0102,0.000405
Baleen Whales,0,0.16,0.038,4.15,,,0,0.2,,0.01,0.99,0,1.39E-04
Odontocetes,0,0.0617,0.04,17.36,,,0,0.2,,0.01,0.99,0,5.88E-05
Sea Birds,0,0.00295,0.275,17.343,,,0,0.15,,0.01,0.001,0,0
Discard,2,1.269,,,,,0,0,0,0.01,0,0,0
Detritus-POC,2,30,,,,,0,0,0,0,0,0,0
Fishery,3,,,,,,,,,,,,
