StanzaName,JuvNum,AduNum,RecAge,RecMonth,VonBK,AduZ_BAB,JuvZ_BAB,VonBD,Wmat50,Wmat001,Amat50,Amat001,RecPower
Fur Seals,12,13,3,0,0.286968404,0.096588,0.398865,0.666666667,0.589478427,0.44210882,6,-1000000,1
SSL,14,15,2,0,0.392,0.1097936,0.4940115,0.666666667,0.659031193,-1000000,4,3,1
Pollock,30,31,2,0,0.295285134,0.322777917,2.1,0.666666667,0.561075444,0.420806583,4,-1000000,1
Cod,32,33,2,0,0.145,0.42,2.026288,0.666666667,0.076923077,0.057692308,4,-1000000,1
Herring,34,35,3,0,0.28,0.32,1.5,0.666666667,0.208333333,0.15625,6,-1000000,1
Arrowtooth,36,37,2,0,0.076054447,0.26,1.5,0.666666667,0.117205229,0.087903921,4,-1000000,1
Halibut,38,39,2,0,0.059367567,0.19,0.7,0.666666667,0.456140351,-1000000,12,8,1
FHSole,41,42,4,0,0.112012745,0.18,1.1,0.666666667,0.321107494,0.240830621,8,-1000000,1
Sablefish,52,53,2,0,0.18,0.19,1.65,0.666666667,0.391666667,0.29375,4,-1000000,1
POP,57,58,3,0,0.193653538,0.09,1.1,0.666666667,0.567800025,-1000000,10,5,1
Shortspines,64,65,3,0,0.012,0.13,1,0.666666667,0.020750988,0.015563241,6,-1000000,1
Atka,67,68,2,0,0.555869794,0.35,1.9,0.666666667,0.313103448,0.234827586,4,-1000000,1
