Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Detritus,Add.fleets,Add.discards
Cod,0,,,,,,,0.2,,,,
Cod_Juv,0,,,,,,,,,,,
Haddock,0,,,,,,,0.2,,,,
Haddock_Juv,0,,,,,,,,,,,
Pollock,0,,,,,,,0.2,,,,
Pollock_Juv,0,,,,,,,,,,,
RedHake,0,,,,,,,0.2,,,,
WhHake,0,,,,,,,0.2,,,,
SilHake,0,,,,,,,0.2,,,,
SilHake_Juv,0,,,,,,,,,,,
OffHake,0,,,,,,,0.2,,,,
Goose,0,,,,,,,0.2,,,,
Redfish,0,,,,,,,0.2,,,,
Redfish_Juv,0,,,,,,,,,,,
YTFl,0,,,,,,,0.2,,,,
YTFl_Juv,0,,,,,,,,,,,
SumFl,0,,,,,,,0.2,,,,
SumFl_Juv,0,,,,,,,,,,,
WinFl,0,,,,,,,0.2,,,,
WinFl_Juv,0,,,,,,,,,,,
AtlHalibut,0,,,,,,,0.2,,,,
AtlHalibut_Juv,0,,,,,,,,,,,
OtherFlats,0,,,,,,,0.2,,,,
SmFlats,0,,,,,,,0.2,,,,
AtlMackerel,0,,,,,,,0.2,,,,
AtlMackerel_Juv,0,,,,,,,,,,,
AtlHerring,0,,,,,,,0.2,,,,
AtlHerring_Juv,0,,,,,,,,,,,
AtlMenhaden,0,,,,,,,,,,,
RiverHerring,0,,,,,,,0.2,,,,
Shad,0,,,,,,,0.2,,,,
SmPelagics,0,,,,,,,0.2,,,,
StripedBass,0,,,,,,,0.2,,,,
StripedBass_Juv,0,,,,,,,,,,,
Bluefish,0,,,,,,,0.2,,,,
Bluefish_Juv,0,,,,,,,,,,,
BSB,0,,,,,,,0.2,,,,
BSB_Juv,0,,,,,,,,,,,
Scup,0,,,,,,,0.2,,,,
Scup_Juv,0,,,,,,,,,,,
Butterfish,0,,,,,,,0.2,,,,
AtlCroaker,0,,,,,,,0.2,,,,
RedDrum,0,,,,,,,0.2,,,,
Weakfish,0,,,,,,,0.2,,,,
OtherScianids,0,,,,,,,0.2,,,,
Tilefish,0,,,,,,,0.2,,,,
AtlSturgeon,0,,,,,,,0.2,,,,
OtherDemersals,0,,,,,,,0.2,,,,
OceanPout,0,,,,,,,0.2,,,,
SmSkates,0,,,,,,,0.2,,,,
LgSkate,0,,,,,,,0.2,,,,
Rays,0,,,,,,0,0.2,,1,,
SpinyDogfish,0,,,,,,,0.2,,,,
SmoothDogfish,0,,,,,,,0.2,,,,
Sharks,0,,,,,,,0.2,,,,
HMS,0,,,,,,,0.2,,,,
Seabirds,0,,,,,,,0.2,,,,
Seals,0,,,,,,,0.2,,,,
Turtles,0,,,,,,,0.2,,,,
BalWhales,0,,,,,,,0.2,,,,
ToothWhales,0,,,,,,,0.2,,,,
Dolphins,0,,,,,,,0.2,,,,
MesoPelagics,0,,,,,,,0.2,,,,
Loligo,0,,,,,,,0.2,,,,
Illex,0,,,,,,0,0.2,,1,,
Scallop,0,,,,,,0,0.2,,1,,
Clams,0,,,,,,0,0.2,,1,,
AmLobster,0,,,,,,,0.2,,,,
RedCrab,0,,,,,,,0.2,,,,
Megabenthos,0,,,,,,,0.2,,,,
Macrobenthos,0,,,,,,,0.2,,,,
Shrimp,0,,,,,,,0.2,,,,
OtherShrimp,0,,,,,,,0.2,,,,
Micronekton,0,,,,,,,0.2,,,,
GelZooplankton,0,,,,,,0,0.2,,1,,
Zooplankton,0,25,10,30,,,0,0.2,,1,,
Microzooplankton,0,,,,,,,,,,,
Bacteria,0,,,,,,,,,,,
Phytoplankton,1,50,150,,,,0,0,,1,,
Detritus,2,50,,,,,0,0,0,0,,
Groundfish Fleet,3,,,,,,,,,1,,
Scallop Fleet,3,,,,,,,,,1,,
