Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus,Halibut HookLine,Crab Pots,Herring Fleet,Salmon Fleet,Subsistence FIshery,Flatfish Trawl,Other Groundfish Trawl,P. Cod HookLine,P. Cod Pot,P. Cod Trawl,Pollock Trawl,Rockfish Trawl,Sablefish HookLine,shrimp trawl,Halibut HookLine,Crab Pots,Herring Fleet,Salmon Fleet,Subsistence FIshery,Flatfish Trawl,Other Groundfish Trawl,P. Cod HookLine,P. Cod Pot,P. Cod Trawl,Pollock Trawl,Rockfish Trawl,Sablefish HookLine,shrimp trawl
Salmon shark,0,0.03459453,0.1,6,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,8.18E-08,0,0,0,0,3.8E-09,3.0284E-06,0,0,0,0.000155954,0,0,0,0,3.0186E-06,0,1.74732E-05,0,1.3951E-06,0.000278006,0,8.4863E-06,0
Dogfish,0,0.09010817,0.1,3,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,9.89E-08,1.652E-07,0,0,0,1.78E-08,0.000173308,5.26E-08,2.46E-08,0,0.003426535,0,0,0,0,0.000309075,7.4371E-06,8.59003E-05,3.69E-08,4.33946E-05,0.000112948,6.6366E-06,0.000123169,0
W. Pollock_Juv,0,0.7959365,2.1,11.46551,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Pollock,0,5.5527,0.425,3.78,,,-1.25,0.2,,0,0,0.5,0.5,0,0,0,0,0,7.953E-07,0.001596734,0.000166671,2.82432E-05,5.0991E-06,0.006093382,0.05266972,0.001284116,4.378E-07,0,0,0,0,0,0,0.004046318,0.000676307,0.000178472,3.79655E-05,0.01226887,0.2631983,0.000595812,3.19376E-05,0
P. Cod_Juv,0,0.1304705,2.026288,8.414302,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Cod,0,1.390076,0.42,2.19,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0.000129767,0.005103315,0.001142195,0.01720389,0.01704845,0.0762641,0.00359223,0.000841617,0.000527053,0,0.009220889,0,0,0,0,0.00319257,0.001656124,0.01760833,0.01708005,0.0762714,0.002316682,0.00054343,0.001085234,0
Herring_Juv,0,0.4331985,1.5,8.751529,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring,0,0.9,0.32,3.52,,,0,0.2,,0,0,0.5,0.5,0,0,0,0.05041208,0,6.90037E-05,0,0,0,0,0,0,0,0,0,0,0,0.005041208,0,0,3.051E-07,0,0,1.88E-08,1.478E-07,3.85484E-05,3.437E-07,0,0
Arrowtooth_Juv,0,0.0698667,1.5,8.008333,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowtooth,0,5.766471,0.26,1.44,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,2.941E-07,0.002553026,0.000123793,4.9345E-06,0,0.00020924,8.62341E-05,0.000949703,0.00012542,0,0.002316122,0,0,0,0,0.03372129,0.003515558,0.000714925,1.03494E-05,0.009829602,0.003166019,0.006959634,0.00378988,0
P. Halibut_Juv,0,0.004207888,0.7,7.017456,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Halibut,0,1.519766,0.19,1.1,,,0,0.2,,0,0,0.5,0.5,0,0.08132301,0,0,0,0.001544014,0,0,0,0,0,0,0,0,0,0.002015248,0,0,0,0,0.00365786,1.00827E-05,0.001822484,4.57648E-05,0.001461903,0.000342381,0.001462816,0.004635246,0
YF. Sole,0,0.237893,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0.000000028,0.000142934,0,0,0,0,3.427E-07,0,0,0,0,0,0,0,0,5.82724E-05,5.4825E-06,0,8.91E-08,2.91256E-05,4.9085E-06,0,0,0
FH. Sole_Juv,0,0.09648249,1.1,5.839294,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH. Sole,0,0.7394146,0.18,1.69,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.002410088,0.000755012,0,0,0.000580116,0.000591844,5.86947E-05,3.428E-07,0,0,0,0,0,0,0.001821753,0.000085486,6.4121E-06,2.788E-07,0.00066724,0.000268212,2.85639E-05,5.5465E-06,0
N. Rock sole,0,0.2096941,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.003043995,2.42377E-05,1E-10,0,0.000228617,0.000416845,3.084E-07,0,0,0,0,0,0,0,0.00205098,2.39344E-05,3.8994E-06,0,8.96502E-05,0.00046912,0.000001225,0,0
S. Rock sole,0,0.3520923,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,8.193E-07,0.003043995,2.42377E-05,1E-10,0,0.000228617,0.000416845,3.084E-07,0,0,0,0,0,0,0,0.00205098,2.39344E-05,3.8994E-06,0,8.96502E-05,0.00046912,0.000001225,0,0
AK Plaice,0,0.0146662,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,1.2062E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000003728,0,0,0,1.028E-07,3.43E-08,0,0,0
Dover Sole,0,0.3184661,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.01343895,0.000299478,1.23372E-05,0,0.001564155,0.000959263,0.000517891,0.000193589,0,0,0,0,0,0,0.006814396,0.00078703,5.0327E-06,4.435E-07,5.19228E-05,6.98626E-05,0.000771364,0.000123411,0
Rex Sole,0,0.3182535,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,8.193E-07,0.005891407,0.000234889,0,0,0.000215735,0.000513226,0.000105092,0,0,0,0,0,0,0,0.002400636,2.29578E-05,0,0,9.9027E-06,0.000282552,6.36308E-05,0,0
Misc. Flatfish,0,0.1958289,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,2.02584E-05,0.004988863,0.000139626,5.799E-07,5.2187E-06,0.003360471,0.00048522,0.000057037,0.000000145,0,0,0,0,0,0,0.003686654,9.38422E-05,3.25526E-05,1.48062E-05,0.003959172,0.000412446,7.37569E-05,1.49984E-05,0
Other skates,0,0.03580718,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,9.98243E-05,0.000395643,4.79487E-05,0,2.82531E-05,2.77552E-05,3.968E-07,1.1206E-06,0,0.00126145,0,0,0,0,0.000292481,2.68789E-05,0.000294237,2.38E-08,0.000079943,4.56924E-05,4.35214E-05,0.000173058,0
Longnose skate,0,0.04973756,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.000174693,0.000692375,8.39102E-05,0,4.94428E-05,4.85717E-05,6.945E-07,0.000001961,0,0.002943384,0,0,0,0,0.000511841,0.000047038,0.000514915,4.16E-08,0.0001399,7.99616E-05,7.61624E-05,0.000302851,0
Big skate,0,1.06E-01,0.2,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,7.165E-07,0.000224605,0.000890197,0.000107885,0,6.35694E-05,6.24493E-05,8.929E-07,2.5213E-06,0,0.002803223,0,0,0,0,0.000658082,6.04775E-05,0.000662034,5.35E-08,0.000179872,0.000102808,9.79231E-05,0.00038938,0
Sablefish_Juv,0,0.01901101,1.65,4.25037,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sablefish,0,0.9314899,0.19,1.03,,,0,0.2,,0,0,0.5,0.5,0,0.003388168,0,0,0,4.02056E-05,0.002279378,0.000814699,0.000152681,4.77E-08,0.000311446,0.000369413,0.004300435,0.02908349,0,0,0,0,0,0,0.00080458,7.99411E-05,0.000170679,1.5967E-06,3.74435E-05,6.663E-07,0.000814602,0.01952905,0
Eelpouts,0,,0.4,2,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,1.0037E-06,0,1.474E-07,3.4E-09,1.254E-07,3.6946E-06,2.5414E-06,1.393E-07,0,0,0,0,0,0,9.6744E-06,5.772E-07,2.118E-07,1.064E-07,9.891E-07,2.4487E-06,0.000002107,4.992E-07,0
Grenadiers,0,0.9086657,0.15,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,6.21469E-05,0,0,0,0,0.000162118,0.000020627,8.3024E-06,0,0,0,0,0,0,0.001431863,0.000111246,3.21321E-05,0,4.06105E-05,0.000605842,0.001018136,0.03377978,0
Misc. fish deep,0,0.03049424,0.1850308,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,2.44503E-05,0,2.32964E-05,1.3293E-06,2.70273E-05,2.22525E-05,0.000197671,2.45693E-05,0,0,0,0,0,0,0.000243668,0.00013717,3.37824E-05,4.19732E-05,0.000213543,1.95286E-05,0.000173489,0.000411738,0
POP_Juv,0,0.02380418,1.1,6.380493,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POP,0,0.8406927,0.09,1.99,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0.000069362,0.000291113,0.001173932,2.242E-07,0,1.67087E-05,3.93929E-05,0.005751463,1.97143E-05,0,3.94086E-05,0,0,0,0,0.000766021,0.000858544,1.879E-07,9.073E-07,0.000104409,0.000239642,0.006395172,0,0
Sharpchin Rock,0,,0.1,2,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.000274847,0.004574022,1.40429E-05,3.621E-07,0.000135158,1.25432E-05,0.006807212,9.87698E-05,0,3.94086E-05,0,0,0,0,0.00051549,0.002019078,2.964E-07,1.01E-08,0.000809225,6.42759E-05,0.007454194,3.427E-07,0
Northern Rock,0,0.3624517,0.1,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,3.54509E-05,0.000115368,0,0,1.04852E-05,2.92283E-05,0.007673298,1.32264E-05,0,3.94086E-05,0,0,0,0,0.000100117,0.001268443,2.964E-07,0,2.07751E-05,4.63E-08,0.007134693,3.427E-07,0
Dusky Rock,0,0.1395475,0.1,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.000118792,0.000941337,2.53113E-05,3.288E-07,0.000140057,1.09013E-05,0.004345832,0.000558427,0,3.94086E-05,0,0,0,0,9.57644E-05,0.000602565,6.6774E-06,8.819E-07,0.00019089,3.06069E-05,0.002619055,3.00323E-05,0
Shortraker Rock,0,0.07740477,0.1,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.000370403,0.000172069,3.0814E-06,3.7526E-06,0.000053687,4.73017E-05,0.000952478,0.000454056,0,3.94086E-05,0,0,0,0,0.000161098,1.28001E-05,1.57403E-05,0,2.258E-07,7.8326E-06,0.000667899,0.000296571,0
Rougheye Rock,0,0.1643666,0.1,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.000342306,0.000172069,0.00000781,3.7526E-06,5.19395E-05,2.76334E-05,0.000952478,0.000569668,0,3.94086E-05,0,0,0,0,0.000160961,1.28001E-05,1.59802E-05,0,0.00000026,5.9138E-06,0.000667899,0.000297393,0
Shortspine Thorns_Juv,0,0.000152009,1,4.14397,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortspine Thorns,0,0.06314901,0.13,0.44,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0.000961466,0.000131462,4.80019E-05,3.5927E-06,7.47153E-05,5.48058E-05,0.000998671,0.001211737,0,3.94086E-05,0,0,0,0,0.000165746,7.4995E-06,0.000009327,1.5649E-06,2.6615E-06,0,0.000566707,0.000762944,0
Other Sebastes,0,,0.1,2,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,6.35735E-05,2.84688E-05,0.000030286,6.34429E-05,0,5.7455E-06,2.2562E-06,0.000286225,0.000476009,0,3.94086E-05,0,0,0,0,2.05496E-05,3.38197E-05,0.000013884,1.13E-08,3.04237E-05,5.7256E-06,0.000211896,5.84576E-05,0
Atka mackerel_Juv,0,0.1601545,1.9,12.0775,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atka mackerel,0,0.4544861,0.35,5.65,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,5.1076E-06,0.01379869,0,0,3.4567E-06,0,0.000106865,0,0,0,0,0,0,0,8.2993E-06,0.000449906,1.1695E-06,5.547E-07,0,8.70003E-05,0.000108588,3.68E-08,0
Greenlings,0,0.01110793,0.4,2,,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0.000049734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
