Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus,Halibut HookLine,Crab Pots,Herring Fleet,Salmon Fleet,Subsistence FIshery,Flatfish Trawl,Other Groundfish Trawl,P. Cod HookLine,P. Cod Pot,P. Cod Trawl,Pollock Trawl,Rockfish Trawl,Sablefish HookLine,shrimp trawl,Halibut HookLine,Crab Pots,Herring Fleet,Salmon Fleet,Subsistence FIshery,Flatfish Trawl,Other Groundfish Trawl,P. Cod HookLine,P. Cod Pot,P. Cod Trawl,Pollock Trawl,Rockfish Trawl,Sablefish HookLine,shrimp trawl
Sandlance,0,,0.8,3.65,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.000000391,1.51E-08,0,0,0,0,0,0,0,0,0,0,0,0,7.63E-08,0,8.3E-09,0,0
Eulachon,0,,0.8,3.65,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0.000013263,5.76E-08,0,0,0,0,0.000167172,3.7E-09,0,0,0,0,0,0,0,4.3712E-06,5.5E-09,0,2.144E-07,1.744E-07,1.58418E-05,4.35E-08,0,0
Oth. managed forage,0,,0.8,3.65,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,0,5.443E-07,0,0,0,0,1.4012E-06,0,0,0,0,0,0,0,0,4.9655E-06,0,2.8765E-06,0,0,8.803E-07,4.19E-08,0,0
Oth. pelagic smelt,0,,0.8,3.65,0.8,,0,0.2,,0,0,0.5,0.5,0,0,0,0,0,2.6468E-06,1.28E-08,0,0,0,0,3.71494E-05,8E-10,0,0,0,0,0,0,0,9.714E-07,1.2E-09,0,4.77E-08,3.88E-08,3.5204E-06,9.7E-09,0,0
Bairdi,0,,1,3,0.8,,0,0.2,,0,0,0.1,0.9,0,0,0.003415561,0,0,0.000093333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77472E-05,4.175E-07,3.684E-07,3.49009E-05,4.96887E-05,1.06525E-05,1.14012E-05,1.65517E-05,0
King Crab,0,0.006152222,0.6,3,,,0,0.2,,0,0,0.1,0.9,0,0,1.13679E-05,0,0,6.02675E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4009E-06,1.36E-08,6.5E-09,1.571E-07,2.356E-07,1.726E-07,2.0345E-06,1.8809E-06,0
Misc. crabs,0,1.722183,0.8200002,4.099998,,,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,2.82305E-05,1.587E-07,0,0,1.142E-07,2.356E-07,2.14E-08,1.26E-08,0,0,0,0,0,0,0,1.18905E-05,1.1467E-06,3.42E-08,2.11674E-05,1.58242E-05,1.26E-08,1.3141E-06,5.52E-08,0
Pandalidae,0,,0.576,2.41,0.8,,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,6.12714E-05,1.1496E-06,1.6939E-06,0,0,1.5E-09,1.631E-07,8.37E-08,0,0.000131515,0,0,0,0,0,1.2546E-06,0,0,0,1.173E-07,3.86E-08,9.856E-07,0,0
NP shrimp,0,,0.576,2.41,0.8,,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,0,1.1496E-06,1.6939E-06,0,0,1.5E-09,1.631E-07,8.37E-08,0,0,0,0,0,0,0,1.2546E-06,0,0,0,1.173E-07,3.86E-08,9.856E-07,0,0
Sea stars,0,0.09551849,1.21,,,0.2,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,0,5.407E-07,0,0,3.4572E-06,1.7692E-06,1.5959E-06,5.247E-07,1.3574E-06,0,1.68029E-05,0,0,0,0,0.000350828,0.000158909,0.001165955,0.001155387,0.00023372,2.6383E-06,1.41477E-05,8.1239E-06,0
Brittle stars,0,4.544021,1.21,,,0.2,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urchins dollars cucumbers,0,1.630926,0.61,,,0.2,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,0.000001955,7.46E-08,0,0,0,1.0983E-06,2.916E-07,0.000000086,0,0,0,0,0,0,0,3.40069E-05,0.00000106,2.95E-08,1.5013E-06,3.35425E-05,1.297E-07,0.000003953,8.4E-09,0
Snails,0,,1.81,,0.8,0.2,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,3.274E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermit crabs,0,,0.82,,0.8,0.2,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc. Crustacean,0,,7.4,,0.8,0.2,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic Amphipods,0,,7.4,,0.8,0.2,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anemones,0,0.08886787,1,,,0.2,0,0.4,,0,0,0.1,0.9,0,0,0,0,0,0,6.66E-08,0,0,0,0,3.427E-07,0,0,0,0,0,0,0,0,2.80739E-05,6.0862E-06,1.52011E-05,7.42E-08,2.10361E-05,1.861E-07,1.9579E-06,0.000001295,0
Corals,0,0.005190301,0.0460517,,,0.2,0,0.4,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,1.7E-09,0.000002967,1.56E-08,0,0,0,0,0,0,0,6.8887E-06,0,8.14E-08,1E-10,2.564E-07,1.059E-07,9.6171E-06,2.969E-07,0
Hydroids,0,,1,,0.8,0.2,0,0.4,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urochordata,0,0.2448,3.58,,,0.2,0,0.4,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4412E-06,1.284E-07,4.938E-07,6.34E-08,1.1579E-06,2.23E-08,4.139E-07,2.31E-08,0
Sea Pens,0,0.000549388,0.09210341,,,0.2,0,0.4,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.817E-07,0,2.9879E-06,0,3.0647E-06,0,2.61E-08,4.733E-07,0
Sponges,0,0.1075014,1,,,0.2,0,0.4,,0,0,0.1,0.9,0,0,0,0,0,0,2.001E-07,0,0,0,0,0,6.48E-08,0,0,0,0,0,0,0,7.4206E-06,0,9.77E-08,3.2952E-06,3.3049E-06,5.85E-08,6.4218E-06,2.353E-07,0
Bivalves,0,,1.3,,0.8,0.2,0,0.4,,0,0,0.1,0.9,0,0,0,0,0,0.000280681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polychaetes,0,,2.97,,0.8,0.2,0,0.4,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc. worms ,0,,2.23,,0.8,0.2,0,0.4,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scyphozoid Jellies,0,0.11,0.88,3,,,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0.000000335,0,0,0,5.86E-08,0.000138608,0,2.2247E-06,0,0,0,0,0,0,1.46171E-05,3.28444E-05,0,2.963E-07,1.49754E-05,0.000132755,3.022E-07,1.089E-07,0
Fish Larvae,0,,5.475,,0.8,0.35,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetognaths,0,,5.475,,0.8,0.35,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphausiids,0,,5.475,,0.8,0.35,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mysids,0,,5.475,,0.8,0.35,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic Amphipods,0,,2.5,,0.8,0.35,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelatinous filter feeders,0,,5.475,,0.8,0.35,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pteropods,0,,5.475,,0.8,0.35,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copepods,0,,6,27.74,0.8,,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic microbes,0,,36.5,,0.8,0.35,0,0.2,,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic microbes,0,,36.5,,0.8,0.35,0,0.2,,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macroalgae,1,,4,,0.8,,0,0,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lg Phytoplankton,1,7.86063,166.4806,,,,0,0,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sm Phytoplankton,1,27.65792,113.3781,,,,0,0,,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Production,1,4,1,,,,0,0,,0,0,0.375,0.375,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discards,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offal,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic Detritus,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic Detritus,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Detritus,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut HookLine,3,,,,,,,,,0.5,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crab Pots,3,,,,,,,,,0.5,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herring Fleet,3,,,,,,,,,0.5,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon Fleet,3,,,,,,,,,0.5,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subsistence FIshery,3,,,,,,,,,0.5,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flatfish Trawl,3,,,,,,,,,0.8463893,0.1536107,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Groundfish Trawl,3,,,,,,,,,0.6952031,0.3047968,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Cod HookLine,3,,,,,,,,,0.3977531,0.6022469,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Cod Pot,3,,,,,,,,,0.1403662,0.8596338,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Cod Trawl,3,,,,,,,,,0.3600228,0.6399772,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollock Trawl,3,,,,,,,,,0.1350133,0.8649867,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockfish Trawl,3,,,,,,,,,0.6272201,0.3727799,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sablefish HookLine,3,,,,,,,,,0.7781148,0.2218852,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shrimp trawl,3,,,,,,,,,0.5,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
