"Group","B","PB","QB","Diet","Longline","Trawlers"
"Apex pred",1,1,1,1,1,1
"Juv Apex",1,1,1,1,1,1
"Mesopelagics",1,1,1,1,1,1
"Epipelagics",1,1,1,1,1,1
"Benthic fishes",1,1,1,1,1,1
"Benthopelagics",1,1,1,1,1,1
"Zooplankton Lg",1,1,1,1,1,1
"Benthos",1,1,1,1,1,1
"Microzooplankton",1,1,1,1,1,1
"Phytoplankton",1,1,1,1,1,1
"Detritus",1,1,1,1,1,1
"Longline",1,1,1,1,1,1
"Trawlers",1,1,1,1,1,1
