Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discard,Detritus-POC,Fishery,FisheryDisc
Phytoplankton- Primary Producers,1,22.126,163.143,,,,0,0,,0.01,0.99,0,0
Bacteria,0,5.484,91.25,380.208,,,0,0.2,,0.01,0.99,0,0
Microzooplankton,0,4.885,72,242.424,,,0,0.1,,0.01,0.99,0,0
Small copepods,0,10.403,30.918,127.75,,,0,0.25,,0.01,0.99,0,0
Large Copepods,0,11.955,35,109.5,,,0,0.25,,0.01,0.99,0,0
Gelatinous Zooplankton,0,1.283,35,146,,,0,0.35,,0.01,0.99,0,6.36E-07
Micronekton,0,4.874,14.25,36.5,,,0,0.25,,0.01,0.99,0,0
Mesopelagics,0,18.942,2.55,17.5,,,0,0.5,,0.01,0.99,0,1.35E-04
Macrobenthos- polychaetes,0,4.04,3.3,21,,,0,0.5,,0.01,0.99,0,0.0000183
Macrobenthos- crustaceans,0,9.866,2.24,13.72,,,0,0.6,,0.01,0.99,0,1.89E-04
Macrobenthos- molluscs,0,24.936,2.04,11.777,,,0,0.5,,0.01,0.99,0,0.000724
Macrobenthos- other,0,2.879,0.864,10,,,0,0.7,,0.01,0.99,0.0917,0.0302
Megabenthos- filterers,0,3.505,1.68,11.03,,,0,0.3,,0.01,0.99,0.345,0.104
Megabenthos- other,0,0.396,2,5,,,0,0.3,,0.01,0.99,0.0622,0.0195
Shrimp et al.,0,0.207,15,45,,,0,0.15,,0.01,0.99,,2.65E-09
Larval-juv fish- all,0,5.714,0.52,1.882,,,0,0.15,,0.01,0.99,0.874,1.31E-01
Small Pelagics- commercial,0,1.24,0.42,2,,,0,0.35,,0.01,0.99,0.0000151,0.000156
Small Pelagics- other,0,0.275,1.4,2,,,0,0.15,,0.01,0.99,0.0138,0.000562
Small Pelagics- squid,0,0.153,0.437,2,,,0,0.15,,0.01,0.99,0.00561,0.0167
Small Pelagics- anadromous,0,0.0229,0.649,1.428,,,0,0.15,,0.01,0.99,0.0101,0.00303
Medium Pelagics- (piscivores & other),0,2.981,0.459,0.9,,,0,0.3,,0.01,0.99,0.142,0.043
Demersals- benthivores,0,0.4,0.54,0.9,,,0,0.35,,0.01,0.99,0.00718,0.00228
Demersals- omnivores,0,4.006,0.55,1.014,,,0,0.15,,0.01,0.99,0.301,0.0904
Demersals- piscivores,0,0.00296,0.15,0.623,,,0,0.15,,0.01,0.99,0.00024,0.0000721
Sharks- pelagics,0,0.00587,0.5,2.362,,,0,0.15,,0.01,0.99,0.00182,0.000545
HMS,0,0.063,0.067,4.85,,,0,0.2,,0.01,0.99,0,0.00115
Baleen Whales,0,0.602,0.042,2.3,,,0,0.2,,0.01,0.99,0,0.000405
Odontocetes,0,0.0336,0.04,8.5,,,0,0.2,,0.01,0.99,0,1.39E-04
Sea Birds,0,0.0035,0.275,5.362,,,0,0.15,,0.01,0.99,0,5.88E-05
Discard,2,0.442,,,,,0,,0,0.01,0.001,0,0
Detritus-POC,2,81.333,,,,,0,,0,0.01,0,0,0
Fishery,3,,,,,,,,,,,,
