Group,Transient Killers,Sperm and Beaked Whales,Resident Killers,Porpoises,Gray Whales,Humpbacks,Fin Whales,Sei whales,Right whales,Minke whales,Sea Otters,N. Fur Seal_Juv,N. Fur Seal,Steller Sea Lion_Juv,Steller Sea Lion,Resident seals,Shearwater,Murres,Kittiwakes,Auklets,Puffins,Fulmars,Storm Petrels,Cormorants,Gulls,Albatross Jaeger,Sleeper shark,Salmon shark,Dogfish,W. Pollock_Juv,W. Pollock,P. Cod_Juv,P. Cod,Herring_Juv,Herring,Arrowtooth_Juv,Arrowtooth,P. Halibut_Juv,P. Halibut,YF. Sole,FH. Sole_Juv,FH. Sole,N. Rock sole,S. Rock sole,AK Plaice,Dover Sole,Rex Sole,Misc. Flatfish,Other skates,Longnose skate,Big skate,Sablefish_Juv,Sablefish,Eelpouts,Grenadiers,Misc. fish deep,POP_Juv,POP,Sharpchin Rock,Northern Rock,Dusky Rock,Shortraker Rock,Rougheye Rock,Shortspine Thorns_Juv,Shortspine Thorns,Other Sebastes,Atka mackerel_Juv,Atka mackerel,Greenlings,Lg. Sculpins,Other sculpins,Misc. fish shallow,Octopi ,Squids,Salmon returning,Salmon outgoing,Bathylagidae,Myctophidae,Capelin,Sandlance,Eulachon,Oth. managed forage,Oth. pelagic smelt,Bairdi,King Crab,Misc. crabs,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc. Crustacean,Benthic Amphipods,Anemones,Corals,Hydroids,Urochordata,Sea Pens,Sponges,Bivalves,Polychaetes,Misc. worms ,Scyphozoid Jellies,Fish Larvae,Chaetognaths,Euphausiids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Lg Phytoplankton,Sm Phytoplankton,Outside Production
Benthic Amphipods,,,,,0.9,,,,,,,,,,,,,,0.009141874,0.001723224,,0.000196483,0.002750761,0.004381558,0.003143728,,,,0.005700001,0.05689801,0.05993175,0.4527661,0.02528915,,3.93E-05,0.001659601,0.000482511,0.1576442,1.84E-05,0.01134944,0.000422383,0.005855503,0.09257289,0.1358704,0.09972416,0.01183043,0.0317167,0.000201964,0.6749882,,0.001333333,0.002714931,0.02423817,0.3280453,,,,0.04442154,0.2308604,0.002078568,0.009672565,0.000012138,5.25E-07,0.2833994,0.05507232,0.002342864,,0.001239528,0.03249238,0.05959999,0.1947338,0.00359031,,,,,,,,,,,,0.02,0.012,2.17E-08,0.3,0.3,,0.1,,,,,,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,,,,
Anemones,,,,,0.000148219,,,,,,,,,,,,,,,,,,,,,,,,6.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corals,,,,,8.66E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroids,,,,,0.000165388,,,,,,,,,,,,,,,,,,,,,,,,7.19E-05,,,,,,,,,,,,,,,,,,,,,,,,,0.00171725,,,,,,,,,,,,,,,0.001150729,6.78E-06,0.03702217,,,,,,,,,,,,,0.01,0.05,1.09E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urochordata,,,,,0.000408292,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001102,,,,,,1.26E-06,,,,0.005144842,0.000293425,0.000480777,,,,,,,0.04063902,0.000399927,,,,,,,,,,,,,0.01036267,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Pens,,,,,9.16E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sponges,,,,,0.000179297,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33E-05,,,,2.90E-07,,4.29E-06,,,,,,2.05E-05,,,,,,,,1.15E-05,,,,,,,,,,,,,,,0.000020459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalves,,,,,0.02361561,,,,,,,,,,,,,,0.02188739,0.004125726,,0.000470418,0.006585849,,0.007526685,,,,0.01026324,,0.000234279,,0.002426489,,,,0.000232791,,0.001843558,0.4204089,,0.06979167,0.04707253,0.1112999,0.1550141,0.01481651,0.000374375,,1.91E-05,,0.004333335,,1.84E-05,0.05257818,,,,,,,,,0,,3.48E-05,,,9.93E-05,0.01185256,0.000393605,,,0.4,,,,,,,,,,,0.3,0.18,0.2500001,0.1,0.1,0.91,,,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaetes,,,,,0.006709395,,,,,,,,,0.005713467,0.005708648,,,,0.006218393,0.001172154,,0.00013365,0.001871095,,0.002138394,,,,0.002915873,0.001422468,0.005621403,0.01600585,0.06331989,,0.000414052,0.001164591,0.002272047,,0.001368609,0.3250877,0.04567024,0.01325893,0.5632688,0.287646,0.5840969,0.3054351,0.5180359,0.00271305,0.00835705,,,0.01431565,0.009675768,0.2386699,0.000000009,2.70E-09,,,,,2.45E-06,,6.00E-10,0.05270332,0.02380652,,,7.85E-05,0.07078718,0.10978,0.02550207,,,,,,,,,,,,,0.49,0.15,0.2500003,,,0.02,,,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. worms ,,,,,0.006367391,,,,,,,,,,,,,,0.005901418,0.001112404,,0.000126837,0.001775718,,0.002029392,,,,0.0122,,7.52E-05,0.00050085,0.003828238,,,,0.000678979,,4.65E-05,,,0.01007263,0.0301636,0.02603832,0.1231583,0.1495564,0.07207736,,0.08835901,,,,0.000196267,0.0236591,,,,,,,,,,,,,,,,0.01924643,,,,,,,,,,,,,,,0.02,0.2499997,,,0.01,,,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Scyphozoid Jellies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0115,,0.00000209,,,,,,,,,,,,,,0.000005277,,,,,,,,0.02957627,,,,,,,,1.23E-05,,,,,0.07845036,,0.000343011,,7.51E-06,,0.000036637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20E-05,,,,,,,,,,,,2.76E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
Chaetognaths,,,,,,0.01596029,0.01611989,0.001343324,0.001343324,0.01074659,,,,,,,,,,,,,,,,,,,0.002261314,0.002546982,0.000263378,,3.17E-08,,,,2.78E-05,,,,0.02283512,,,0.000597181,,,,,,,,,6.43E-07,,,,0.08361555,0.03235965,0.02217671,0.00117574,0.152889,,8.96E-07,2.39E-05,1.48E-05,,,,,,,,,0.025,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphausiids,,,,,,0.5194641,0.5246586,0.04372156,0.04372156,0.3497725,,,,,,,0.008128295,0.05217746,0.03769183,0.4276253,0.03199299,0.0158663,0.1471657,0.01194143,0.004139036,,,,0.1287,0.4459628,0.5003052,0.05097953,0.04333064,0.8785541,0.9566219,0.5914851,0.1685737,0.001662762,0.005208936,0.003056355,0.1678332,0.03409671,0.000863076,6.73E-06,0.001129958,0.06525984,0.2771926,,,,,0.6031824,0.1225552,0.00018246,,,0.912148,0.7536014,0.2615512,0.9459355,0.08706296,0.000004307,3.48E-06,0.09400119,0.000270569,0.1561775,0.9,0.8478132,,0.00959537,,,,0.42,0.2,0.25,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,0.2,0.2,,,,,,,,,,,,,,,,,0.64,,0.05,,,,,,,,,,,,
Mysids,,,,,,0.01124909,0.01136158,0.000946798,0.000946798,0.007574384,,,,,,,,0.001129913,0.000816223,0.009260303,0.000692814,0.000343588,0.0031869,,8.96E-05,,,,0.001593813,0.01002112,0.0238004,0.1778375,0.000457783,,,0.000102148,0.000553048,0.01183142,3.79E-07,,0.3448189,0.008265497,0.000327637,,2.14E-05,,0.00010755,,0.000057281,,0.009500002,,0.001221054,0.00008429,,,,0.004326997,,,0.004586527,0.00074449,3.35E-06,0.1422331,0.06006394,,,,0.04326759,0.07602074,0.003085179,0.001551943,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
Pelagic Amphipods,,,,,,0.03071704,0.03102421,0.002585351,0.002585351,0.0206828,,,,,,,,0.003085366,0.002228799,0.02528641,0.001891814,0.000938209,0.008702231,,0.00024475,,,,0.004352106,0.002860978,0.005166952,6.18E-05,3.75E-05,,0.000421431,1.40E-06,1.54E-05,,1.76E-05,,,,4.67E-05,0.01566914,1.25E-05,,,,,,,0.003371006,0.01137973,0.001079522,,,0.003408606,0.009698977,,,,8.63E-05,3.92E-08,,,,,1.39E-05,0.000724533,0.04567209,0.008285979,,,0.14,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
Gelatinous filter feeders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0226,0.0351392,0.0552285,,0.000364045,,,,2.91E-08,,1.50E-06,,,,,,3.96E-05,,,,,,,,0.1250017,,,,,,,,0.1127995,,,,0.000266819,,,0.02178128,,0.02479862,,0.9296911,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,,
Pteropods,,,,,,0.016669,0.01683569,0.001402974,0.001402974,0.01122379,,,,,,,,,,,,,,,,,,,0.002361727,1.93E-05,0.001610199,,2.33E-06,,,0.000183061,1.46E-06,,,,,,0.001899569,,1.35E-07,,2.86E-05,,,,,0.2178966,0.000158039,,,,,0.000347037,0.04444959,,,,0,,0.001357859,,,0.006991948,,4.25E-05,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
Copepods,,,,,,0.004950495,0.2,0.8,0.95,0.02,,,,,,,0.008871705,0.05694959,0.04113911,0.4667358,0.03491905,0.01731743,0.1606255,0.0130336,0.004517591,,,,0.08033103,0.2637576,0.05358491,3.02E-05,0.000120364,0.1214459,0.04250331,9.46E-06,8.08E-05,,,0.000382044,0.004862948,,1.31E-05,5.28E-05,7.81E-06,,0.01682428,,,,,0.08242185,1.43E-06,,,,0.000827877,0.1092198,0.4093972,0.04537316,0.002252488,,0,0.00247015,,0.3667376,0.1,0.1143617,,2.77E-05,0.01865575,0.002844756,,0.2,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,0.15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,
Pelagic microbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142786,,,,,,,,,0.00065419,,,,,,,,,,,,,,,,,0.000363653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.5,,,,,,
Benthic microbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.5,0.5,,,,,,,,,,,,,,,
Macroalgae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13E-07,,,,7.44E-08,,3.38E-06,,,,,,,,,,,,,,4.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,,,,,,
Sm Phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.7,,,,,
Outside Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discards,,,,,,,,,,,,,,,,,,,,,,,,,0.01098901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.004,8.70E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offal,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1227,,,,0.000769217,,0.03188111,,,,0.001531842,,0.02548249,,,8.51E-05,,,8.56E-06,,,,,,,,0.05241013,0.00062444,,,,0.005360927,,,,,,,0.000405975,,,,,0.008015925,,,,,,,,,,,,,,0.007,0.004,7.60E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelagic Detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,
Benthic Detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02728953,,,,,,,,,,,,,,,,0.01066456,,0.01316667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.2499998,0.4,0.4,,0.9,0.75,0.2,0.25,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,,,,,,,,,,,1,,,,
Outside Detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
