Group,Transient Killers,Sperm and Beaked Whales,Resident Killers,Porpoises,Gray Whales,Humpbacks,Fin Whales,Sei whales,Right whales,Minke whales,Sea Otters,N. Fur Seal_Juv,N. Fur Seal,Steller Sea Lion_Juv,Steller Sea Lion,Resident seals,Shearwater,Murres,Kittiwakes,Auklets,Puffins,Fulmars,Storm Petrels,Cormorants,Gulls,Albatross Jaeger,Sleeper shark,Salmon shark,Dogfish,W. Pollock_Juv,W. Pollock,P. Cod_Juv,P. Cod,Herring_Juv,Herring,Arrowtooth_Juv,Arrowtooth,P. Halibut_Juv,P. Halibut,YF. Sole,FH. Sole_Juv,FH. Sole,N. Rock sole,S. Rock sole,AK Plaice,Dover Sole,Rex Sole,Misc. Flatfish,Other skates,Longnose skate,Big skate,Sablefish_Juv,Sablefish,Eelpouts,Grenadiers,Misc. fish deep,POP_Juv,POP,Sharpchin Rock,Northern Rock,Dusky Rock,Shortraker Rock,Rougheye Rock,Shortspine Thorns_Juv,Shortspine Thorns,Other Sebastes,Atka mackerel_Juv,Atka mackerel,Greenlings,Lg. Sculpins,Other sculpins,Misc. fish shallow,Octopi ,Squids,Salmon returning,Salmon outgoing,Bathylagidae,Myctophidae,Capelin,Sandlance,Eulachon,Oth. managed forage,Oth. pelagic smelt,Bairdi,King Crab,Misc. crabs,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc. Crustacean,Benthic Amphipods,Anemones,Corals,Hydroids,Urochordata,Sea Pens,Sponges,Bivalves,Polychaetes,Misc. worms ,Scyphozoid Jellies,Fish Larvae,Chaetognaths,Euphausiids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Lg Phytoplankton,Sm Phytoplankton,Outside Production
Shortspine Thorns,,0.001481883,,,,,,,,,,,,,0.000189068,,,2.89E-05,2.89E-05,0.000028853,2.89E-05,2.89E-05,2.89E-05,2.89E-05,2.89E-05,,0.000649653,0.000315365,0.000888542,,,,4.03E-06,,,,7.94E-05,,,,,,,,,,,,2.85E-05,,,,0.00011762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Sebastes,,0.0016322,,,,,,,,,0.000812182,0.000892204,0.000892204,0.000245908,0.000208247,0.000389748,,3.18E-05,3.18E-05,3.18E-05,3.18E-05,3.18E-05,3.18E-05,3.18E-05,3.18E-05,,0.000715551,0.000347355,0.000978673,,,,,,,,,,,,,,,,,,,,3.14E-05,,,,0.004371518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atka mackerel_Juv,,,,,,0.005257842,,,,,,0.000485138,,,,0.00287665,,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,,,,,,,,,,,0.00244081,0.01112121,,,,,,,,,,,,8.23E-05,0.003336011,0.000993922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atka mackerel,,,,,,,,,,,,0.001376723,0.001412788,0.0211508,0.02104879,0.00816335,,,,,,,,,,,,,,,,,0.000575436,,,,0.006250835,,0.01584488,,,,,,,,,,0.01319701,0.009466922,0.002820549,,,,,,,,,,,,,,,,,,,5.16E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenlings,,,,,,,,,,,,0.000033648,3.45E-05,0.003397628,0.003381243,0.000199518,,,,,,,,,,,,0.000314691,,,,,,,,,,,,,,,,,,,,,8.23E-06,0.000231378,0.000068936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg. Sculpins,,,,,,,,,,,,0.00026925,0.000276303,0.008501332,0.00846788,0.001266444,,,,,,,,,,,,0.002518143,,,,,,,,,2.43E-08,0.01060585,0.001535306,,,,,,,,,,0.00394181,0.001851474,0.000551623,,0.003765259,,,,,,,,,,,,,,,,0.1779013,0.001836508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other sculpins,,,,0.04197855,,,,,,,,0.002281987,0.002341765,0.001054743,0.001049656,0.01073356,,,,,,,,,,,,0.02134215,,,0.000448716,0.03590452,0.03272593,,,0.000566199,0.003695697,0.01918481,0.005726709,,,0.008419019,0.000117905,0.003306757,,,,,0.01376433,0.01569189,0.004675198,,0.007548684,0.01351007,,,,,,,,,0,,0.01151372,,,8.27E-05,0.1501493,0.02105363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. fish shallow,,,,0.03112673,,0.01833839,0.009385493,,,,,0.001692074,0.001736398,0.0315066,0.03149546,0.09699999,,,,,,,,,,,0.004999998,0.01582502,0.01023275,,0.001065031,,0.004420571,,,,0.00573736,0.000153196,0.002215389,,,,,0.000229927,,,0.005125646,,0.008537856,0.0116354,0.009333335,,0.002111958,0.000986536,,,,0.000155278,,,,1.17E-05,1.25E-08,,0.00037259,,,,,0.01898878,0.04985735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octopi ,,,,,,,,,,,,,,0.006618269,0.006620814,0.0091791,,,,,,,,,,,0.04629999,,0.0287,,0.000977195,,0.02307921,,,,1.54E-07,3.54E-05,0.02853149,,,,,,,,,0.000673213,0.01357143,,0.005166668,,0.04339559,,0.1618069,0.04844255,,0.002513395,,,,,0,0.003977382,0.01456155,,,,,0.01435831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squids,,0.85,0.03178128,0.693,,0.004950495,,0.05,,0.02,0.05,0.06467661,0.06467662,0.008523045,0.008526322,0.0118209,0.266,0.03451721,0.007217865,0.000737371,0.03814141,0.5854147,0.6063936,,,0.5,0.008,0.07,0.0182,,0.006398567,,0.005206717,,,,0.003039101,,0.002314252,,,,,,,,,,0.04134118,,,0.01290593,0.211956,,0.03039022,0.3594059,,0.002428494,,0.000221516,1.96E-05,0.04263107,0,,0.000819687,,,,,6.85E-05,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,
