Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discard,Detritus-POC,Fishery,FisheryDisc
Phytoplankton- Primary Producers,1,26.528,182.859,,,,0,0,,0.01,0.99,0,0
Bacteria,0,7.532,91.25,380.208,,,0,0.2,,0.01,0.99,0,0
Microzooplankton,0,5.083,72,242.424,,,0,0.1,,0.01,0.99,0,0
Small copepods,0,11.825,45.432,127.75,,,0,0.25,,0.01,0.99,0,0
Large Copepods,0,5.653,61.986,109.5,,,0,0.25,,0.01,0.99,0,0
Gelatinous Zooplankton,0,1.196,40,146,,,0,0.35,,0.01,0.99,0,6.36E-07
Micronekton,0,4.233,14.25,139.286,,,0,0.25,,0.01,0.99,0,0.00962
Mesopelagics,0,0.228,0.95,1.825,,,0,0.15,,0,0,0,1.31E-10
Macrobenthos- polychaetes,0,35.436,2.5,17.5,,,0,0.5,,0.01,0.99,0,0.000354
Macrobenthos- crustaceans,0,6.392,3,21,,,0,0.5,,0.01,0.99,0,6.14E-05
Macrobenthos- molluscs,0,17.805,2,14,,,0,0.6,,0.01,0.99,0,0.000432
Macrobenthos- other,0,18.933,2.04,17.64,,,0,0.5,,0.01,0.99,1.668,0.00039
Megabenthos- filterers,0,3.702,5,19,,,0,0.7,,0.01,0.99,0.153,0.52
Megabenthos- other,0,3.373,2,16.941,,,0,0.3,,0.01,0.99,0,0.0524
Shrimp et al.,0,0.27,2,5,,,0,0.3,,0.01,0.99,0.0308,9.62E-03
Larval-juv fish- all,0,0.422,21,45,,,0,0.15,,0.01,0.99,0.44,8.68E-09
Small Pelagics- commercial,0,14.851,0.363,2,,,0,0.15,,0.01,0.99,0.0305,0.165
Small Pelagics- other,0,1.946,0.95,2,,,0,0.35,,0.01,0.99,0.00694,0.0282
Small Pelagics- squid,0,3.07,0.95,2.75,,,0,0.15,,0.01,0.99,0.248,0.0007
Small Pelagics- anadromous,0,0.659,0.459,2,,,0,0.15,,0.01,0.99,0.0646,0.0397
Medium Pelagics- (piscivores & other),0,0.35,0.585,1.428,,,0,0.15,,0.01,0.99,0.0833,0.0194
Demersals- benthivores,0,2.337,0.45,0.9,,,0,0.3,,0.01,0.99,0.0146,0.0254
Demersals- omnivores,0,3.635,0.45,0.8,,,0,0.35,,0.01,0.99,0.291,0.01
Demersals- piscivores,0,2.334,0.468,1.035,,,0,0.15,,0.01,0.99,0.0121,0.0874
Sharks- coastal,0,0.0215,0.102,0.876,,,0,0.15,,0,0,0.0006,0.001
Sharks- pelagics,0,0.0388,0.105,0.408,,,0,0.15,,0.01,0.99,0.003,0.0001
HMS,0,0.00548,0.584,7.289,,,0,0.15,,0.01,0.99,0,0.00228
Pinnipeds,0,0.0178,0.106,8.778,,,0,0.2,,0,0,0,3.17E-11
Baleen Whales,0,0.14,0.041,4.49,,,0,0.2,,0.01,0.99,0,1.71E-08
Odontocetes,0,0.0752,0.041,15.641,,,0,0.2,,0.01,0.99,0,1.31E-08
Sea Birds,0,0.0107,0.275,9.952,,,0,0.15,,0.01,0.99,0,0.0000633
Discard,2,0.974,,,,,0,0,0,0.01,0.001,0,0
Detritus-POC,2,40,,,,,0,0,0,0.01,0,0,0
Fishery,3,,,,,,,,,,,,
